sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
0.0,0.0,0.0,0.0,3424256,24961024,209,1183,0.0,0.0,87869303,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3506176,20082688,214,1168,0.0,0.0,3090165,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2654208,19247104,162,1193,0.0,0.0,5501311,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1279488,19181568,79,1216,0.0,0.0,8664748,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3395584,18427904,209,1146,0.0,0.0,4171679,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4145152,18669568,194,1197,0.0,0.0,11458251,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4431872,18640896,274,1188,0.0,0.0,31469040,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4689920,18849792,289,1227,0.0,0.0,4399157,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3596288,18628608,221,1105,0.0,0.0,2984312,0.0,0.0,0.0
TABLES: 10
TABLE_SIZE: 30000
