sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
0.0,0.0,0.0,0.0,8720384,35643392,410,1505,0.0,0.0,8570871,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3657728,29396992,227,1476,0.0,0.0,2596335,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5292032,29609984,325,1509,0.0,0.0,18930379,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5387776,28266496,304,1491,0.0,0.0,137942318,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4239360,28094464,263,1494,0.0,0.0,81641045,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5849088,26505216,358,1448,0.0,0.0,24236730,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6791168,27799552,326,1488,0.0,0.0,36067673,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5111808,27688960,222,1485,0.0,0.0,3422915,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3999232,25698304,248,1343,0.0,0.0,7724335,0.0,0.0,0.0
TABLES: 10
TABLE_SIZE: 80000
