sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
0.0,0.0,0.0,0.0,8212480,36454400,506,1570,0.0,0.0,5461797,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5789184,28987392,358,1485,0.0,0.0,53062667,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6610944,29065216,250,1500,0.0,0.0,48781643,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7176192,26296320,441,1354,0.0,0.0,27403012,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5550080,27418624,308,1464,0.0,0.0,43278677,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7061504,28770304,437,1502,0.0,0.0,12450617,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3753472,28467200,235,1552,0.0,0.0,61594672,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6324224,28323840,357,1528,0.0,0.0,17149774,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4341760,27504640,240,1425,0.0,0.0,62352295,0.0,0.0,0.0
TABLES: 10
TABLE_SIZE: 90000
