sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
0.0,0.0,0.0,0.0,3022848,20639744,186,1227,0.0,0.0,12614063,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4763648,23367680,293,1339,0.0,0.0,19175858,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2621440,23871488,164,1335,0.0,0.0,56059229,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3702784,24031232,229,1346,0.0,0.0,28955909,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5869568,29065216,301,1390,0.0,0.0,6927293,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5406720,26054656,334,1332,0.0,0.0,6785450,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1929216,25088000,122,1364,0.0,0.0,62470219,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2903040,23654400,183,1356,0.0,0.0,20813662,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3683840,26972160,231,1338,0.0,0.0,36421762,0.0,0.0,0.0
TABLES: 10
TABLE_SIZE: 60000
