sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
0.0,0.0,0.0,0.0,1196032,20082688,73,1183,0.0,0.0,963255,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5510656,21762048,339,1263,0.0,0.0,10060386,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1984000,21950464,123,1236,0.0,0.0,28325635,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3543040,26460160,219,1405,0.0,0.0,2873103,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5345280,22204416,248,1289,0.0,0.0,47854822,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3555328,20680704,219,1227,0.0,0.0,26903859,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2506752,17522688,156,1134,0.0,0.0,119533973,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3622400,21659648,224,1270,0.0,0.0,68226514,0.0,0.0,0.0
0.0,0.0,0.0,0.0,5390336,28606464,330,1492,0.0,0.0,8293202,0.0,0.0,0.0
TABLES: 10
TABLE_SIZE: 40000
