sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
0.0,0.0,0.0,0.0,3412480,22007808,213,1259,0.0,0.0,51997701,0.0,0.0,0.0
0.0,0.0,0.0,0.0,3387392,23224320,210,1332,0.0,0.0,200099871,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4964352,22630400,303,1318,0.0,0.0,5378987,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6881280,24059904,330,1362,0.0,0.0,6182104,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6193152,24100864,379,1355,0.0,0.0,34668115,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4657152,24518656,285,1392,0.0,0.0,4158757,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4112384,23224320,221,1328,0.0,0.0,11805387,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4210688,23764992,263,1319,0.0,0.0,75535337,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6029312,22896640,371,1249,0.0,0.0,15707835,0.0,0.0,0.0
TABLES: 10
TABLE_SIZE: 50000
