TCP_sent,TCP_recv,DISK_read,DISK_write,DISK_read_cnt,DISK_write_cnt
0,0,0,0,0,0
0,0,0,0,0,0
1395,51765,0,0,0,0
8628,267354,0,0,0,0
5795,31617,0,0,0,0
5705,208922,0,0,0,0
3730,8334,0,0,0,0
1650,1050,0,0,0,0
3154,3887,0,0,0,0
