sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
0.0,0.0,0.0,0.0,40361984,108068864,1859,3920,0.0,0.0,540953910,0.0,0.0,0.0
0.0,0.0,0.0,0.0,29216256,115929088,1324,3586,0.0,0.0,210787219,0.0,0.0,0.0
0.0,0.0,0.0,0.0,22095360,121466880,954,3819,0.0,0.0,83934230,0.0,0.0,0.0
0.0,0.0,0.0,0.0,30253568,100728832,1234,3765,0.0,0.0,166754006,0.0,0.0,0.0
0.0,0.0,0.0,0.0,17809408,76095488,834,2952,0.0,0.0,416245143,0.0,0.0,0.0
0.0,0.0,0.0,0.0,18071552,86065152,764,3317,0.0,0.0,296007044,0.0,0.0,0.0
0.0,0.0,0.0,0.0,26203648,96067584,927,3654,0.0,0.0,719002258,0.0,0.0,0.0
0.0,0.0,0.0,0.0,21538304,81752064,750,3228,0.0,0.0,197728375,0.0,0.0,0.0
0.0,0.0,0.0,0.0,37407744,122580992,2117,4513,0.0,0.0,133270183,0.0,0.0,0.0
TABLES: 10
TABLE_SIZE: 200000
