TimeStamp,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,PROCESS.SCHED.exec_start,PROCESS.SCHED.vruntime,PROCESS.SCHED.sum_exec_runtime,PROCESS.SCHED.switches,PROCESS.SCHED.voluntary_switches,PROCESS.SCHED.involuntary_switches
17:13:35,0.3,0.0,0.25,0.0,3.46,0.0,0.0,0.0,4.01,4.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.42,5.0,4.0,0.0,0.0,0.0,31380320.0,23855180.0,26265136.0,16379900.0,4.0,0.0,0.535,36.328,5.312,-1.0,-1.0,1.0,0.535,0.0,0.0,0.0,36864.0,2001.0,0.0,4.0,1.0,0.0,1984.0,1.0,1226.0,0.6,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:37,0.25,0.0,0.45,0.0,3.4,0.05,0.0,0.0,4.15,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.43,3.0,4.0,0.0,0.0,0.0,31380320.0,23853420.0,26263444.0,16379900.0,112.0,0.0,0.545,30.32,4.896,-1.0,-1.0,1.0,0.545,0.0,0.0,0.0,36527.0,2366.0,0.0,4.0,1.0,21.0,2289.0,1.0,1228.0,0.55,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:38,0.2,0.0,0.25,0.0,3.5,0.05,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,23847168.0,26257196.0,16379900.0,116.0,0.0,0.448,23.673,3.885,-1.0,-1.0,1.0,0.448,0.0,0.0,0.0,37593.0,2081.0,0.0,4.0,1.0,19.0,2010.0,3.0,1227.0,0.55,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:39,0.35,0.0,0.15,0.05,3.6,0.05,0.0,0.0,4.15,4.14,0.0,10.0,0.0,0.12,0.0,0.0,0.0,12.4,0.0,3.6,0.9,0.03,5.06,2.23,11.0,11.0,0.0,0.0,0.0,31380320.0,23862204.0,26272236.0,16379900.0,120.0,0.0,0.448,23.754,3.134,-1.0,-1.0,1.0,0.448,0.0,0.0,124.0,37352.0,2066.0,0.0,4.0,1.0,0.0,1939.0,1.0,1231.0,0.55,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:41,0.2,0.0,0.25,0.0,3.6,0.1,0.0,0.0,4.15,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.64,6.0,6.0,0.0,0.0,0.0,31380320.0,23861920.0,26271952.0,16379900.0,0.0,0.0,0.428,21.948,3.164,-1.0,-1.0,1.0,0.428,0.0,0.0,0.0,37393.0,1843.0,0.0,4.0,1.0,2.0,1873.0,1.0,1226.0,0.55,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:42,0.4,0.0,0.25,0.0,3.51,0.05,0.0,0.0,4.21,4.2,2.0,8.0,0.02,0.05,0.0,0.0,10.0,5.88,4.5,2.25,2.1,0.02,0.03,0.08,1.0,1.0,0.0,0.0,0.0,31380320.0,23863424.0,26273456.0,16379900.0,8.0,0.0,0.563,28.949,4.813,-1.0,-1.0,1.0,0.563,0.0,0.0,47.0,36903.0,2459.0,0.0,4.0,2.0,7.0,2457.0,1.0,1231.0,0.51,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:43,0.2,0.0,0.25,0.05,3.5,0.0,0.0,0.0,3.95,3.95,0.0,14.0,0.0,0.07,0.0,0.0,0.0,5.18,0.0,1.71,2.4,0.02,1.24,0.86,5.0,4.0,0.0,0.0,0.0,31380320.0,23852004.0,26262040.0,16379900.0,16.0,0.0,0.501,23.939,3.509,-1.0,-1.0,1.0,0.501,0.0,0.0,72.0,35831.0,2084.0,0.0,4.0,1.0,2.0,2072.0,1.0,1226.0,0.51,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:45,0.05,0.0,0.15,0.0,3.76,0.0,0.0,0.0,3.96,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380320.0,23848972.0,26259008.0,16379900.0,16.0,0.0,0.438,23.206,2.982,-1.0,-1.0,1.0,0.438,0.0,0.0,0.0,37173.0,1808.0,0.0,4.0,1.0,0.0,1797.0,2.0,1229.0,0.51,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:46,0.4,0.0,0.15,0.05,3.61,0.05,0.0,0.0,4.21,4.21,0.0,8.0,0.0,0.02,0.0,0.0,0.0,2.69,0.0,1.25,1.2,0.01,0.25,0.54,5.0,5.0,0.0,0.0,0.0,31380320.0,23848736.0,26258780.0,16379900.0,8.0,0.0,0.667,33.995,4.58,-1.0,-1.0,1.0,0.667,0.0,0.0,22.0,37981.0,2031.0,0.0,4.0,1.0,0.0,1996.0,4.0,1229.0,0.51,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:13:47,0.25,0.0,0.25,0.0,3.46,0.05,0.0,0.0,4.01,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,23858320.0,26268352.0,16379900.0,20.0,0.0,0.463,27.127,3.456,-1.0,-1.0,1.0,0.463,0.0,0.0,0.0,36335.0,2038.0,0.0,4.0,1.0,9.0,1975.0,1.0,1226.0,0.55,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
