TimeStamp ,CPU.STAT.usr ,CPU.STAT.nice ,CPU.STAT.sys ,CPU.STAT.iowait ,CPU.STAT.irq ,CPU.STAT.soft ,CPU.STAT.steal ,CPU.STAT.guest ,CPU.STAT.util ,CPU.STAT.cutil ,STORAGE.STAT.rs ,STORAGE.STAT.ws ,STORAGE.STAT.rMBs ,STORAGE.STAT.wMBs ,STORAGE.STAT.rrqm ,STORAGE.STAT.wrqm ,STORAGE.STAT.rareq-sz ,STORAGE.STAT.wareq-sz ,STORAGE.STAT.r_await ,STORAGE.STAT.w_await ,STORAGE.STAT.util ,STORAGE.STAT.aqu-sz ,NET.STAT.rxkBs ,NET.STAT.txkBs ,NET.STAT.rxpcks ,NET.STAT.txpcks ,NET.STAT.ifutil ,NET.ESTAT.errs ,NET.ESTAT.util ,MEM.MEMINFO.MemTotal ,MEM.MEMINFO.MemFree ,MEM.MEMINFO.MemAvailable ,MEM.MEMINFO.SwapTotal ,MEM.MEMINFO.Dirty ,MEM.BANDWIDTH.Total_Util ,PERF.STAT.IPC ,PERF.STAT.CACHE-MISS-RATIO ,PERF.STAT.MPKI ,PERF.STAT.ITLB-LOAD-MISS-RATIO ,PERF.STAT.DTLB-LOAD-MISS-RATIO ,PERF.STAT.SBPI ,PERF.STAT.SBPC ,MEM.VMSTAT.procs.b ,MEM.VMSTAT.memory.swpd ,MEM.VMSTAT.io.bo ,MEM.VMSTAT.system.in ,MEM.VMSTAT.system.cs ,MEM.VMSTAT.util.swap ,MEM.VMSTAT.util.cpu ,MEM.VMSTAT.procs.r ,SYS.TASKS.procs ,SYS.TASKS.cswchs ,SYS.LDAVG.runq-sz ,SYS.LDAVG.plist-sz ,SYS.LDAVG.ldavg-1 ,SYS.LDAVG.ldavg-5 ,SYS.FDUTIL.fd-util ,PROCESS.SCHED.exec_start#dockerd ,PROCESS.SCHED.vruntime#dockerd ,PROCESS.SCHED.sum_exec_runtime#dockerd ,PROCESS.SCHED.switches#dockerd ,PROCESS.SCHED.voluntary_switches#dockerd ,PROCESS.SCHED.involuntary_switches#dockerd ,PROCESS.SCHED.exec_start#firewalld ,PROCESS.SCHED.vruntime#firewalld ,PROCESS.SCHED.sum_exec_runtime#firewalld ,PROCESS.SCHED.switches#firewalld ,PROCESS.SCHED.voluntary_switches#firewalld ,PROCESS.SCHED.involuntary_switches#firewalld
23:16:31  ,        0.25 ,          0.0 ,        0.35 ,           0.0  ,        3.5  ,         0.05 ,           0.0 ,           0.0 ,         4.15 ,          4.15 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          1.54 ,          0.17 ,            6.0 ,            3.0 ,           0.01 ,           0.0 ,           0.0 ,          31380316.0 ,         22022140.0 ,              24455092.0 ,           16379900.0 ,            340.0 ,                     0.0 ,        0.486 ,                    33.074 ,         4.973 ,-1.0                           ,-1.0                           ,           1.0 ,         0.486 ,               0.0 ,                   0.0 ,             0.0 ,             38407.0 ,              2626.0 ,                 0.0 ,                4.0 ,               0.0 ,           21.0 ,          2539.0 ,              0.0 ,            1322.0 ,             1.51 ,             0.76 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:32  ,        0.2  ,          0.0 ,        0.25 ,           0.0  ,        3.51 ,         0.15 ,           0.0 ,           0.0 ,         4.11 ,          4.1  ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.31 ,          0.65 ,            3.0 ,            3.0 ,           0.01 ,           0.0 ,           0.0 ,          31380316.0 ,         22021224.0 ,              24454180.0 ,           16379900.0 ,            344.0 ,                     0.0 ,        0.455 ,                    24.555 ,         3.348 ,-1.0                           ,-1.0                           ,           1.0 ,         0.455 ,               0.0 ,                   0.0 ,             0.0 ,             38050.0 ,              2135.0 ,                 0.0 ,                4.0 ,               1.0 ,            5.0 ,          2189.0 ,              1.0 ,            1325.0 ,             1.51 ,             0.76 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:33  ,        4.46 ,          0.0 ,        0.35 ,           0.05 ,        3.3  ,         0.05 ,           0.0 ,           0.0 ,         8.16 ,          8.15 ,            0.0 ,            3.0 ,              0.0 ,             0.08 ,              0.0 ,             0.0  ,                  0.0 ,                26.67 ,                 0.0 ,                5.0  ,              1.6 ,               0.01 ,          0.05 ,          0.13 ,            1.0 ,            2.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22750856.0 ,              25183816.0 ,           16379900.0 ,            344.0 ,                     0.0 ,        1.313 ,                    37.183 ,         6.347 ,-1.0                           ,-1.0                           ,           1.0 ,         1.313 ,               0.0 ,                   0.0 ,            80.0 ,             45945.0 ,              4171.0 ,                 0.0 ,                8.0 ,               0.0 ,            2.0 ,          4102.0 ,              0.0 ,            1322.0 ,             2.11 ,             0.9  ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:35  ,        0.45 ,          0.0 ,        0.4  ,           0.0  ,        3.5  ,         0.0  ,           0.0 ,           0.0 ,         4.35 ,          4.35 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.1  ,          0.13 ,            2.0 ,            2.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22809424.0 ,              25242408.0 ,           16379900.0 ,            348.0 ,                     0.0 ,        0.907 ,                    33.297 ,         4.198 ,-1.0                           ,-1.0                           ,           1.0 ,         0.907 ,               0.0 ,                   0.0 ,             0.0 ,             37916.0 ,              3249.0 ,                 0.0 ,                5.0 ,               1.0 ,           28.0 ,          3144.0 ,              1.0 ,            1330.0 ,             2.11 ,             0.9  ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:36  ,        0.45 ,          0.0 ,        0.2  ,           0.0  ,        3.69 ,         0.1  ,           0.0 ,           0.0 ,         4.44 ,          4.43 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.05 ,          0.06 ,            1.0 ,            1.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22803116.0 ,              25236120.0 ,           16379900.0 ,            348.0 ,                     0.0 ,        0.514 ,                    31.125 ,         3.648 ,-1.0                           ,-1.0                           ,           1.0 ,         0.514 ,               0.0 ,                   0.0 ,             0.0 ,             38870.0 ,              2821.0 ,                 0.0 ,                4.0 ,               2.0 ,           22.0 ,          2815.0 ,              1.0 ,            1323.0 ,             2.11 ,             0.9  ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:37  ,        0.15 ,          0.0 ,        0.3  ,           0.0  ,        3.6  ,         0.1  ,           0.0 ,           0.0 ,         4.15 ,          4.15 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.05 ,          0.06 ,            1.0 ,            1.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22805124.0 ,              25238148.0 ,           16379900.0 ,            348.0 ,                     0.0 ,        0.457 ,                    26.498 ,         3.469 ,-1.0                           ,-1.0                           ,           1.0 ,         0.457 ,               0.0 ,                   0.0 ,             0.0 ,             37718.0 ,              2221.0 ,                 0.0 ,                4.0 ,               1.0 ,            2.0 ,          2210.0 ,              2.0 ,            1325.0 ,             1.94 ,             0.88 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:39  ,        0.25 ,          0.0 ,        0.3  ,           0.0  ,        3.55 ,         0.05 ,           0.0 ,           0.0 ,         4.15 ,          4.15 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.27 ,          0.86 ,            5.0 ,            7.0 ,           0.01 ,           0.0 ,           0.0 ,          31380316.0 ,         22808368.0 ,              25241392.0 ,           16379900.0 ,            364.0 ,                     0.0 ,        0.487 ,                    31.713 ,         3.619 ,-1.0                           ,-1.0                           ,           1.0 ,         0.487 ,               0.0 ,                   0.0 ,             0.0 ,             37772.0 ,              2428.0 ,                 0.0 ,                4.0 ,               1.0 ,            4.0 ,          2432.0 ,              0.0 ,            1322.0 ,             1.94 ,             0.88 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:40  ,        0.75 ,          0.0 ,        0.4  ,           0.05 ,        3.56 ,         0.0  ,           0.0 ,           0.0 ,         4.71 ,          4.7  ,            0.0 ,           26.0 ,              0.0 ,             0.26 ,              0.0 ,             0.0  ,                  0.0 ,                10.13 ,                 0.0 ,                1.46 ,              3.1 ,               0.03 ,          1.74 ,          1.69 ,            9.0 ,            9.0 ,           0.01 ,           0.0 ,           0.0 ,          31380316.0 ,         22809660.0 ,              25242684.0 ,           16379900.0 ,            204.0 ,                     0.0 ,        0.976 ,                    40.874 ,         5.333 ,-1.0                           ,-1.0                           ,           1.0 ,         0.976 ,               0.0 ,                   0.0 ,           264.0 ,             39075.0 ,              4858.0 ,                 0.0 ,                5.0 ,               3.0 ,           28.0 ,          4825.0 ,              1.0 ,            1332.0 ,             1.94 ,             0.88 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:41  ,        0.35 ,          0.0 ,        0.4  ,           0.0  ,        3.59 ,         0.0  ,           0.0 ,           0.0 ,         4.34 ,          4.34 ,            0.0 ,            0.0 ,              0.0 ,             0.0  ,              0.0 ,             0.0  ,                  0.0 ,                 0.0  ,                 0.0 ,                0.0  ,              0.0 ,               0.0  ,          0.3  ,          0.32 ,            6.0 ,            5.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22805740.0 ,              25238768.0 ,           16379900.0 ,            196.0 ,                     0.0 ,        0.483 ,                    26.794 ,         4.16  ,-1.0                           ,-1.0                           ,           1.0 ,         0.483 ,               0.0 ,                   0.0 ,             0.0 ,             37536.0 ,              2474.0 ,                 0.0 ,                4.0 ,               0.0 ,           21.0 ,          2430.0 ,              1.0 ,            1325.0 ,             1.94 ,             0.88 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
23:16:42  ,        0.35 ,          0.0 ,        0.2  ,           0.05 ,        3.59 ,         0.1  ,           0.0 ,           0.0 ,         4.24 ,          4.23 ,            0.0 ,           14.0 ,              0.0 ,             0.07 ,              0.0 ,             0.0  ,                  0.0 ,                 4.82 ,                 0.0 ,                1.64 ,              2.4 ,               0.02 ,          0.05 ,          0.06 ,            1.0 ,            1.0 ,           0.0  ,           0.0 ,           0.0 ,          31380316.0 ,         22803756.0 ,              25236796.0 ,           16379900.0 ,            212.0 ,                     0.0 ,        0.45  ,                    28.544 ,         3.763 ,-1.0                           ,-1.0                           ,           1.0 ,         0.45  ,               0.0 ,                   0.0 ,            67.0 ,             37535.0 ,              2431.0 ,                 0.0 ,                4.0 ,               1.0 ,            2.0 ,          2369.0 ,              3.0 ,            1325.0 ,             1.79 ,             0.87 ,               0.0 ,                             0.0 ,                           0.0 ,                                   0.0 ,                           0.0 ,                                     0.0 ,                                       0.0 ,                         201091.24 ,                        7527.005 ,                                 230.996 ,                          1073.0 ,                                    1070.0 ,                                         3.0
