TimeStamp,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,PROCESS.SCHED.exec_start#firewalld,PROCESS.SCHED.vruntime#firewalld,PROCESS.SCHED.sum_exec_runtime#firewalld,PROCESS.SCHED.switches#firewalld,PROCESS.SCHED.voluntary_switches#firewalld,PROCESS.SCHED.involuntary_switches#firewalld,PROCESS.SCHED.exec_start#dockerd,PROCESS.SCHED.vruntime#dockerd,PROCESS.SCHED.sum_exec_runtime#dockerd,PROCESS.SCHED.switches#dockerd,PROCESS.SCHED.voluntary_switches#dockerd,PROCESS.SCHED.involuntary_switches#dockerd
16:54:16,0.35,0.0,0.25,0.0,3.13,0.0,0.0,0.0,3.73,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.04,2.06,14.0,13.0,0.0,0.0,0.0,31380320.0,23907868.0,26314616.0,16379900.0,12.0,0.0,0.754,19.326,2.966,-1.0,-1.0,1.0,0.754,0.0,0.0,0.0,37327.0,8940.0,0.0,4.0,2.0,2.0,8915.0,2.0,1229.0,0.77,0.47,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16:54:17,0.3,0.0,0.35,0.0,3.46,0.0,0.0,0.0,4.11,4.1,0.0,23.0,0.0,0.27,0.0,0.0,0.0,11.83,0.0,1.3,2.3,0.03,0.71,0.42,5.0,4.0,0.0,0.0,0.0,31380320.0,23911732.0,26318476.0,16379900.0,20.0,0.0,0.521,31.753,4.982,-1.0,-1.0,1.0,0.521,0.0,0.0,272.0,38345.0,2497.0,0.0,4.0,1.0,9.0,2429.0,1.0,1234.0,0.77,0.47,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16:54:19,0.66,0.0,0.2,0.1,3.23,0.0,0.0,0.0,4.09,4.08,0.0,80.0,0.0,0.72,0.0,6.98,0.0,9.22,0.0,2.09,4.0,0.15,0.1,0.21,2.0,2.0,0.0,0.0,0.0,31380320.0,23923288.0,26329916.0,16379900.0,20.0,0.0,0.796,15.849,2.45,-1.0,-1.0,1.0,0.796,0.0,0.0,738.0,39576.0,13870.0,0.0,5.0,1.0,2.0,13855.0,1.0,1230.0,0.77,0.47,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16:54:20,3.42,0.0,0.85,0.05,3.21,0.0,0.0,0.0,7.48,7.47,0.0,33.0,0.0,0.22,0.0,0.0,0.0,6.8,0.0,1.94,5.5,0.05,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,23923364.0,26330032.0,16379900.0,68.0,0.0,1.39,19.372,3.413,-1.0,-1.0,1.0,1.39,0.0,0.0,224.0,41388.0,27003.0,0.0,7.0,1.0,16.0,27021.0,2.0,1232.0,0.77,0.47,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16:54:21,0.65,0.0,0.35,0.05,3.51,0.0,0.0,0.0,4.51,4.51,70.0,5.0,1.09,0.04,0.0,0.0,15.89,8.0,0.21,2.2,4.1,0.02,0.2,0.32,4.0,3.0,0.0,0.0,0.0,31380320.0,23902480.0,26309248.0,16379900.0,104.0,0.0,0.998,30.681,3.15,-1.0,-1.0,1.0,0.998,0.0,0.0,40.0,38844.0,8554.0,0.0,5.0,1.0,13.0,8562.0,2.0,1246.0,0.71,0.46,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16:54:23,0.05,0.0,0.2,0.0,3.42,0.15,0.0,0.0,3.82,3.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,2.33,4.0,5.0,0.0,0.0,0.0,31380320.0,23896672.0,26304100.0,16379900.0,116.0,0.0,0.661,19.236,1.948,-1.0,-1.0,1.0,0.661,0.0,0.0,0.0,38000.0,10181.0,0.0,4.0,2.0,21.0,10097.0,1.0,1234.0,0.71,0.46,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16:54:24,0.91,0.0,0.2,0.0,3.27,0.05,0.0,0.0,4.43,4.44,0.0,21.0,0.0,0.21,0.0,0.0,0.0,10.24,0.0,3.62,5.3,0.07,1.54,2.07,10.0,8.0,0.0,0.0,0.0,31380320.0,23902664.0,26310464.0,16379900.0,140.0,0.0,0.832,19.401,4.768,-1.0,-1.0,1.0,0.832,0.0,0.0,215.0,38199.0,13131.0,0.0,5.0,1.0,2.0,13120.0,2.0,1242.0,0.71,0.46,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16:54:25,0.6,0.0,0.35,0.05,3.36,0.1,0.0,0.0,4.41,4.41,0.0,24.0,0.0,0.15,0.0,7.69,0.0,6.33,0.0,1.46,0.9,0.03,0.1,0.11,2.0,1.0,0.0,0.0,0.0,31380320.0,23909816.0,26317636.0,16379900.0,152.0,0.0,0.764,10.934,2.067,-1.0,-1.0,1.0,0.764,0.0,0.0,152.0,39077.0,8446.0,0.0,5.0,1.0,2.0,8414.0,1.0,1237.0,0.71,0.46,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16:54:26,0.5,0.0,0.25,0.0,3.64,0.05,0.0,0.0,4.44,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,2.29,15.0,15.0,0.0,0.0,0.0,31380320.0,23908744.0,26316576.0,16379900.0,88.0,0.0,0.564,29.138,4.3,-1.0,-1.0,1.0,0.564,0.0,0.0,0.0,37871.0,2475.0,0.0,4.0,1.0,22.0,2414.0,1.0,1237.0,0.65,0.45,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
16:54:28,0.2,0.0,0.35,0.0,3.4,0.0,0.0,0.0,3.95,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.43,3.0,4.0,0.0,0.0,0.0,31380320.0,23899276.0,26307204.0,16379900.0,148.0,0.0,0.474,23.337,3.634,-1.0,-1.0,1.0,0.474,0.0,0.0,0.0,35995.0,2221.0,0.0,4.0,1.0,24.0,2179.0,1.0,1237.0,0.65,0.45,0.0,506530.841,9013.967,329.818,1063.0,1058.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
