CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
9,0,1.4,0,2.9,0,0,0,13.3,13.29,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380324,15525788,19102744,16379900,232,23.944,3.387,58.001,5.036,-1,-1,1,3.387,0,0,0,38919,1410,0,13,5,0,1431,5,1151,0.91,0.45,0,memory stress
5.54,0,4.74,0,2.69,0.1,0,0,13.07,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.19,3,3,0,0,0,31380324,17424484,21001484,16379900,232,22.356,3.128,68.559,5.164,-1,-1,1,3.128,0,0,0,35221,1660,0,12,3,3,1708,2,1141,1.08,0.49,0,memory stress
7.25,0,2.85,0,2.85,0.1,0,0,13.05,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,1,0,0,0,0,31380324,17044836,20621836,16379900,232,32.262,2.968,67.513,7.762,-1,-1,1,2.968,0,0,0,36376,1700,0,13,3,0,1615,3,1146,1.08,0.49,0,memory stress
5.1,0,5.1,0,2.7,0.05,0,0,12.95,12.85,0,9,0,0.07,0,18.18,0,7.56,0,3.89,0.9,0.03,0.05,0.13,1,2,0,0,0,31380324,17076952,20653952,16379900,236,20.89,2.707,76.575,5.253,-1,-1,1,2.707,0,0,68,33991,1670,0,13,2,1,1586,2,1143,1.08,0.49,0,memory stress
8.54,0,1.85,0,2.9,0.05,0,0,13.34,13.39,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.19,4,3,0,0,0,31380324,15224072,18801072,16379900,168,18.374,4.821,65.551,2.55,-1,-1,1,4.821,0,0,0,37747,2411,0,14,2,7,2366,2,1143,1.15,0.51,0,memory stress
9.27,0,0.8,0,2.96,0.05,0,0,13.08,13.1,0,0,0,0,0,0,0,0,0,0,0,0,4.84,1.4,10,12,0.04,0,0,31380324,15551280,19128292,16379900,172,11.994,5.457,59.328,1.535,-1,-1,1,5.457,0,0,0,38500,1643,0,13,2,0,1604,2,1143,1.15,0.51,0,memory stress
8.87,0,1.1,0.05,3.01,0.05,0,0,13.03,13.74,0,47,0,0.45,0,12.96,0,9.74,0,3.09,1.5,0.13,0.17,0.29,2,3,0,0,0,31380324,12326756,15903768,16379900,184,12.234,5.362,58.422,1.804,-1,-1,1,5.362,0,0,458,37831,1613,0,13,3,0,1614,3,1146,1.15,0.51,0,memory stress
8.89,0,1.4,0.05,2.8,0.2,0,0,13.29,13.99,0,15,0,0.08,0,6.25,0,5.37,0,1.6,2.5,0.02,0.25,0.45,5,7,0,0,0,31380324,13199932,16776944,16379900,184,15.094,5.483,61.088,1.982,-1,-1,1,5.483,0,0,80,38276,1806,0,13,3,0,1742,2,1143,1.15,0.51,0,memory stress
8.2,0,2.25,0,2.95,0.05,0,0,13.45,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,2,1,0,0,0,31380324,13206532,16783536,16379900,184,23.206,4.242,65.732,3.711,-1,-1,1,4.242,0,0,0,38972,2118,0,13,4,6,2097,3,1146,1.22,0.54,0,memory stress
6.16,0,4.01,0,2.91,0,0,0,13.08,13.74,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.26,4,4,0,0,0,31380324,12327300,15904320,16379900,184,36.136,2.973,70.539,8.825,-1,-1,1,2.973,0,0,0,39345,1382,0,13,2,3,1392,2,1143,1.22,0.54,0,memory stress
