CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
0.65,0,0.3,0,3.46,0.1,0,0,4.51,4.51,0,0,0,0,0,0,0,0,0,0,0,0,122325.92,122325.92,4199,4199,0,0,0,31380316,18548600,22183728,16379900,16,0,0.784,19.734,5.286,-1,-1,1,0.784,0,0,0,38924,10148,0,5,0,21,10107,0,1687,0.61,0.8,0,net stress
0.6,0,0.2,0,3.4,0.3,0,0,4.5,4.49,0,0,0,0,0,0,0,0,0,0,0,0,122215.08,122215.08,4543,4543,0,0,0,31380316,18552176,22187304,16379900,24,0,0.785,24.531,4.743,-1,-1,1,0.785,0,0,0,38314,9678,0,5,1,0,9669,1,1689,0.61,0.8,0,net stress
0.65,0,0.15,0,3.36,0.05,0,0,4.21,4.21,0,0,0,0,0,0,0,0,0,0,0,0,122318.17,122318.17,4051,4051,0,0,0,31380316,18536616,22171748,16379900,44,0,0.719,17.108,4.796,-1,-1,1,0.719,0,0,0,39637,9247,0,5,1,0,9197,0,1687,0.64,0.8,0,net stress
0.35,0,0.4,0,3.26,0.2,0,0,4.21,4.2,0,0,0,0,0,0,0,0,0,0,0,0,122349.18,122349.18,4661,4661,0,0,0,31380316,18536232,22171372,16379900,80,0,0.807,17.954,4.433,-1,-1,1,0.807,0,0,0,38332,9074,0,4,0,21,9079,1,1689,0.64,0.8,0,net stress
1.15,0,0.25,0,3.35,0.35,0,0,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,122224.07,122224.07,4720,4720,0,0,0,31380316,18536232,22171376,16379900,92,0,0.952,24.458,5.889,-1,-1,1,0.952,0,0,0,40627,11004,0,5,1,21,10977,1,1690,0.64,0.8,0,net stress
0.8,0,0.25,0,3.3,0.25,0,0,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,122223.78,122223.78,4669,4669,0,0,0,31380316,18552888,22188032,16379900,92,0,0.843,24.08,6.278,-1,-1,1,0.843,0,0,0,38905,9746,0,5,1,9,9792,1,1687,0.64,0.8,0,net stress
0.55,0,0.35,0,3.3,0.2,0,0,4.4,4.39,0,0,0,0,0,0,0,0,0,0,0,0,122353.59,122353.59,4750,4750,0,0,0,31380316,18554276,22189560,16379900,212,0,0.709,17.137,4.613,-1,-1,1,0.709,0,0,0,38211,10446,0,5,0,0,10384,0,1687,0.59,0.79,0,net stress
0.7,0,0.45,0.05,3.5,0.2,0,0,4.85,4.84,0,37,0,0.46,0,0,0,12.85,0,0.97,2.9,0.03,122347.75,122347.75,4622,4622,0,0,0,31380316,18552096,22187388,16379900,220,0,0.79,23.815,5.829,-1,-1,1,0.79,0,0,475,38669,10689,0,5,0,21,10676,0,1692,0.59,0.79,0,net stress
0.45,0,0.3,0,3.51,0.1,0,0,4.36,4.35,0,0,0,0,0,0,0,0,0,0,0,0,122346.93,122346.93,4618,4618,0,0,0,31380316,18555168,22190124,16379900,124,0,0.701,14.975,3.885,-1,-1,1,0.701,0,0,0,39635,9811,0,4,0,21,9799,0,1687,0.59,0.79,0,net stress
0.8,0,0.25,0,3.37,0.2,0,0,4.62,4.62,0,41,0,0.39,0,0,0,9.8,0,1.41,3.3,0.05,122226.01,122226.01,4724,4724,0,0,0,31380316,18556588,22191564,16379900,140,0,0.836,24.964,6.257,-1,-1,1,0.836,0,0,402,39593,10830,0,5,1,6,10835,1,1690,0.59,0.79,0,net stress
