CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
0.55,0,0.25,4.72,3.51,0.1,0,0,4.41,4.42,0,2018,0,23.24,0,4.27,0,11.79,0,0.61,99.8,0.69,0,0.11,0,1,0,0,0,31380320,26439124,27925052,16379900,44,0.736,0.791,14.707,2.908,-1,-1,1,0.791,1,0,23832,39623,12164,0,4,1,17,12048,2,778,0.44,0.32,0,centralized database
2.31,0,0.35,2.66,3.32,0,0,0,5.98,5.96,28,855,0.44,58.36,0,0,16,69.89,0.07,1.22,92.8,0.78,0.05,0.11,1,1,0,0,0,31380320,26435756,27921684,16379900,0,0.686,2.428,14.969,0.756,-1,-1,1,2.428,1,0,59843,40297,17823,0,6,2,0,17831,2,775,0.44,0.32,0,centralized database
3.27,0,0.35,2.81,3.17,0.1,0,0,6.89,6.9,8,2146,0.12,101.56,0,0,16,48.46,0,0.86,89,1.27,0.05,0.11,1,1,0,0,0,31380320,26439660,27943132,16379900,72,1.994,2.239,21.716,1.377,-1,-1,1,2.239,0,0,107588,39935,24172,0,7,3,1,24182,1,774,0.44,0.32,0,centralized database
2.56,0,0.3,2.16,3.46,0.15,0,0,6.47,6.48,13,1825,0.2,81.67,0,0,16,45.82,0.15,0.68,93.3,0.87,0.15,0.21,3,2,0,0,0,31380320,26418568,27944476,16379900,0,1.456,2.197,22.123,1.569,-1,-1,1,2.197,0,0,83741,40433,19980,0,7,2,0,20011,2,778,0.44,0.32,0,centralized database
3.9,0,0.5,2.8,3.3,0.05,0,0,7.75,7.73,34,2143,0.53,102.11,0,0,16,48.79,0.09,0.91,91.1,1.37,0,0,0,0,0,0,0,31380320,26400820,27944428,16379900,152,2.594,2.351,26.937,1.931,-1,-1,1,2.351,1,0,104563,40439,24481,0,8,2,17,24411,2,775,0.49,0.33,0,centralized database
3.02,0,0.4,2.61,3.32,0.1,0,0,6.84,6.87,35,2132,0.55,100.57,0,0,16,48.3,0.06,0.76,92.6,1.11,0.05,0.22,1,2,0,0,0,31380320,26359216,27923968,16379900,140,1.242,2.451,20.401,1.048,-1,-1,1,2.451,0,0,102986,40562,21864,0,7,0,1,21872,0,772,0.49,0.33,0,centralized database
2.26,0,0.3,2.21,3.26,0.05,0,0,5.87,5.87,28,1849,0.44,82.99,0,0,16,45.96,0.11,0.64,93.7,0.82,4.73,1.03,8,7,0,0,0,31380320,26340884,27926696,16379900,28,0.72,2.473,13.789,0.664,-1,-1,1,2.473,1,0,84989,38679,16758,0,6,2,0,16741,2,778,0.49,0.33,0,centralized database
2.9,0,0.35,2.55,3.45,0.1,0,0,6.8,6.79,41,2048,0.64,93.83,0,0,16,46.91,0.07,0.67,91.6,0.92,0.15,0.32,3,3,0,0,0,31380320,26319040,27923276,16379900,108,1.014,2.43,14.518,0.72,-1,-1,1,2.43,0,0,96072,43013,20757,0,7,2,9,20652,2,776,0.49,0.33,0,centralized database
2.61,0,0.25,2.41,3.36,0.05,0,0,6.27,6.27,28,2010,0.44,87.2,0,0,16,44.43,0.07,0.9,93.3,1.32,0.05,0.11,1,1,0,0,0,31380320,26301440,27926032,16379900,236,1.186,2.368,21.339,1.108,-1,-1,1,2.368,1,0,88945,39294,17927,0,7,2,6,17795,2,776,0.53,0.34,0,centralized database
2.76,0,0.35,2.66,3.41,0.1,0,0,6.62,6.6,111,1948,1.73,98.73,0,0,16,51.9,0.09,0.57,94.1,0.71,0.05,0.21,1,2,0,0,0,31380320,26290936,27933224,16379900,0,0.64,2.571,13.538,0.611,-1,-1,1,2.571,1,0,101441,38970,18685,0,7,2,0,18623,1,781,0.53,0.34,0,centralized database
8.67,0,0.55,1.85,3.01,0.15,0,0,12.38,12.38,8654,1499,135.22,61.71,0,0,16,42.16,0.09,0.47,69.5,0.5,0.13,0.3,3,3,0,0,0,31380320,26274080,27936576,16379900,404,1.794,1.876,19.062,0.666,-1,-1,1,1.876,0,0,63183,49583,32903,0,12,4,7,32890,3,775,0.53,0.34,0,centralized database
0.95,0,0.15,4.66,3.51,0.05,0,0,4.66,4.66,0,1739,0,25.76,0,0,0,15.17,0,0.57,99.7,0.59,0.05,0.11,1,1,0,0,0,31380320,26256184,27928744,16379900,0,0.298,2.492,24.413,0.671,-1,-1,1,2.492,1,0,26468,37191,8417,0,5,4,24,8330,1,780,0.53,0.34,0,centralized database
1.9,0,0.55,3.5,3.4,0.05,0,0,5.9,5.88,119,1190,1.86,44.34,0,0,16,38.16,0.08,0.95,95.7,0.83,0,0,0,0,0,0,0,31380320,26261772,27934332,16379900,36,0.87,2.109,21.441,1.497,-1,-1,1,2.109,1,0,45642,38685,15074,0,6,2,30,15067,2,775,0.57,0.35,0,centralized database
2.41,0,0.35,2.61,3.36,0.05,0,0,6.17,6.18,30,1587,0.47,80.1,0,0,16,51.68,0.07,1.05,94.3,1.19,0.05,0.11,1,1,0,0,0,31380320,26255500,27936320,16379900,112,0.712,2.51,14.691,0.759,-1,-1,1,2.51,0,0,82015,39606,18237,0,6,1,0,18200,2,780,0.57,0.35,0,centralized database
