CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
1.1,0,0.3,4.36,3.76,0.2,0,0,5.36,5.36,0,1694,0,6.45,0,0,0,3.9,0,0.58,100.1,0.39,6.09,1.21,11,9,0.05,0,0,31380316,8269796,22413952,16379900,1644,0,1.435,26.258,3.158,-1,-1,1,1.435,1,0,6604,39281,22767,0,5,0,0,22727,0,1654,1.35,1.23,0,fileio stress
0.5,0.1,0.3,4.37,3.71,0.15,0,0,4.76,4.75,0,1684,0,6.36,0,0,0,3.86,0,0.58,100,0.39,12.84,3.43,23,26,0.11,0,0,31380316,8270016,22414172,16379900,1168,0,1.411,26.045,2.375,-1,-1,1,1.411,1,0,6524,39199,22869,0,5,0,6,22840,0,1654,1.35,1.23,0,fileio stress
0.45,0,0.45,4.37,3.86,0.05,0,0,4.81,4.81,0,1715,0,6.43,0,0,0,3.84,0,0.57,100.1,0.38,0.15,0.19,3,3,0,0,0,31380316,8270960,22415152,16379900,1508,0,1.382,21.647,1.95,-1,-1,1,1.382,1,0,6600,38180,22650,0,4,1,0,22646,0,1654,1.35,1.23,0,fileio stress
0.95,0,0.55,4.29,3.79,0.2,0,0,5.49,5.47,0,1708,0,6.43,0,0,0,3.86,0,0.57,100.1,0.39,0.15,0.19,3,3,0,0,0,31380316,8268640,22412864,16379900,1028,0,1.329,25.707,2.445,-1,-1,1,1.329,1,0,6603,38282,24094,0,5,1,2,24083,0,1654,1.32,1.23,0,fileio stress
0.55,0,0.3,4.35,3.95,0.1,0,0,4.9,4.89,0,1591,0,6,0,0,0,3.86,0,0.61,100,0.42,0.15,0.26,3,4,0,0,0,31380316,8268216,22412440,16379900,2124,0,1.337,26.146,2.152,-1,-1,1,1.337,0,0,6187,38594,20584,0,5,3,1,20910,2,1654,1.32,1.23,0,fileio stress
0.55,0,0.45,4.3,3.7,0.2,0,0,4.9,4.89,0,1571,0,5.92,0,0,0,3.86,0,0.63,100.1,0.44,0,0.21,0,3,0,0,0,31380316,8267260,22411484,16379900,2252,0,1.402,25.372,1.865,-1,-1,1,1.402,1,0,6059,39058,20039,0,5,0,0,19982,0,1657,1.32,1.23,0,fileio stress
0.65,0.35,0.35,4.45,3.85,0.2,0,0,5.4,5.39,0,1551,0,9.15,0,0,0,6.04,0,0.64,100,0.45,10.6,4.1,24,21,0.09,0,0,31380316,8265940,22410164,16379900,2504,0,1.527,28.41,2.802,-1,-1,1,1.527,1,0,9354,39108,21989,0,5,1,3,21992,0,1655,1.32,1.23,0,fileio stress
0.5,0,0.5,4.36,3.76,0.15,0,0,4.91,4.89,0,1685,0,6.37,0,0,0,3.87,0,0.58,99.9,0.38,0.1,0.13,2,2,0,0,0,31380316,8308952,22453172,16379900,2172,0,1.396,24.024,1.92,-1,-1,1,1.396,1,0,6538,38477,23551,0,4,0,0,23521,3,1658,1.3,1.23,0,fileio stress
0.4,0,0.4,4.36,3.81,0.1,0,0,4.71,4.71,0,1740,0,6.87,0,0,0,4.04,0,0.56,100.1,0.38,0.05,0.06,1,1,0,0,0,31380316,8307944,22452164,16379900,2476,0,1.441,24.378,1.871,-1,-1,1,1.441,1,0,7034,38492,22524,0,4,1,0,22505,1,1655,1.3,1.23,0,fileio stress
0.65,0,0.4,4.35,3.8,0.2,0,0,5.05,5.05,0,1512,0,5.75,0,0,0,3.9,0,0.65,100,0.46,4.79,1.21,9,9,0.04,0,0,31380316,8307920,22452140,16379900,1564,0,1.271,25.885,2.375,-1,-1,1,1.271,1,0,5909,39446,22157,0,5,1,0,22139,1,1656,1.3,1.23,0,fileio stress
