CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.appname
0.3,0,0.15,0,3.88,0.25,0,0,4.58,4.6,0,3,0,0.02,0,25,0,5.33,0,9,1,0.02,1222649.26,1222649.26,37669,37669,0,0,0,31380324,23614880,27152780,16379900,268,0.162,0.76,2.053,0.911,-1,-1,1,0.76,0,0,16,37036,13082,0,4,0,0,13080,1,932,0.33,0.2,0,net stress
0.35,0,0.25,0,3.8,0.1,0,0,4.5,4.51,0,0,0,0,0,0,0,0,0,0,0,0,1222508.26,1222508.26,37413,37413,0,0,0,31380324,23616604,27154504,16379900,252,0.564,0.74,3.979,1.62,-1,-1,1,0.74,0,0,0,40150,14996,0,4,1,28,14888,2,935,0.33,0.2,0,net stress
0.25,0,0.05,0,3.56,0.1,0,0,3.96,3.97,0,0,0,0,0,0,0,0,0,0,0,0,1222909.07,1222909.07,45302,45302,0,0,0,31380324,23616520,27154456,16379900,256,0.278,0.736,7.534,1.704,-1,-1,1,0.736,0,0,0,37487,26524,0,4,2,22,26534,1,932,0.38,0.21,0,net stress
0.25,0,0.3,0,3.75,0.25,0,0,4.55,4.6,0,0,0,0,0,0,0,0,0,0,0,0,1223085.17,1223085.17,46253,46253,0,0,0,31380324,23618376,27156312,16379900,256,0.308,0.661,2.585,0.929,-1,-1,1,0.661,0,0,0,37622,26194,0,4,0,0,26128,1,934,0.38,0.21,0,net stress
0.2,0,0.15,0,3.64,0.15,0,0,4.14,4.16,0,0,0,0,0,0,0,0,0,0,0,0,1222604.73,1222604.73,36790,36790,0,0,0,31380324,23618968,27156904,16379900,256,0.268,0.721,2.65,1.081,-1,-1,1,0.721,0,0,0,39110,10750,0,4,0,1,10752,0,931,0.38,0.21,0,net stress
0.61,0,0.3,0,3.49,0.15,0,0,4.55,4.56,0,0,0,0,0,0,0,0,0,0,0,0,1222670.29,1222670.29,38083,38083,0,0,0,31380324,23618880,27156832,16379900,256,0.534,0.75,9.829,2.308,-1,-1,1,0.75,0,0,0,36764,14764,0,4,1,29,14774,1,939,0.35,0.21,0,net stress
0.35,0,0.15,0,3.59,0.15,0,0,4.24,4.26,0,0,0,0,0,0,0,0,0,0,0,0,1222814.12,1222814.12,40903,40903,0,0,0,31380324,23613796,27151768,16379900,256,0.288,0.783,3.081,1.321,-1,-1,1,0.783,0,0,0,37077,16845,0,4,1,22,16850,0,936,0.35,0.21,0,net stress
0.3,0,0.05,0,3.9,0.25,0,0,4.5,4.52,0,0,0,0,0,0,0,0,0,0,0,0,1223018.39,1223018.39,44938,44938,0,0,0,31380324,23616064,27154036,16379900,268,0.228,0.704,12.705,1.139,-1,-1,1,0.704,0,0,0,39591,25846,0,4,1,0,25881,2,933,0.35,0.21,0,net stress
0.25,0,0.25,0,3.7,0.35,0,0,4.55,4.58,0,0,0,0,0,0,0,0,0,0,0,0,1222997.84,1222997.84,47054,47054,0,0,0,31380324,23615040,27153012,16379900,268,0.262,0.716,6.977,1.311,-1,-1,1,0.716,0,0,0,36461,35624,0,4,1,0,35567,4,934,0.35,0.21,0,net stress
0.71,0,0.25,0,3.43,0.15,0,0,4.54,4.55,0,0,0,0,0,0,0,0,0,0,0,0,1222882.55,1222882.55,42263,42263,0,0,0,31380324,23615160,27153132,16379900,268,0.588,0.893,6.472,2.395,-1,-1,1,0.893,0,0,0,37477,18056,0,5,2,28,17995,0,933,0.32,0.2,0,net stress
0.36,0,0.15,0,3.86,0.15,0,0,4.52,4.54,0,0,0,0,0,0,0,0,0,0,0,0,1223038.07,1223038.07,45324,45324,0,0,0,31380324,23609804,27147776,16379900,268,0.348,0.757,8.307,1.406,-1,-1,1,0.757,0,0,0,38998,29856,0,4,3,22,29854,3,934,0.32,0.2,0,net stress
0.25,0,0.1,0,3.76,0.2,0,0,4.31,4.34,0,0,0,0,0,0,0,0,0,0,0,0,1223201.13,1223201.13,46016,46016,0,0,0,31380324,23598480,27136460,16379900,272,0.194,0.696,3.209,1.234,-1,-1,1,0.696,0,0,0,37322,23610,0,4,1,0,23640,1,934,0.32,0.2,0,net stress
0.31,0,0.1,0,3.56,0.2,0,0,4.17,4.19,0,0,0,0,0,0,0,0,0,0,0,0,1223110.31,1223110.31,46746,46746,0,0,0,31380324,23599672,27137664,16379900,0,0.314,0.671,2.387,0.851,-1,-1,1,0.671,0,0,0,37682,27626,0,4,1,0,27590,0,931,0.32,0.2,0,net stress
0.5,0,0.25,0,3.53,0.2,0,0,4.48,4.49,0,0,0,0,0,0,0,0,0,0,0,0,1222695.39,1222695.39,41098,41098,0,0,0,31380324,23598812,27136804,16379900,8,0.464,0.811,4.718,1.776,-1,-1,1,0.811,0,0,0,38636,15851,0,4,1,28,15822,1,939,0.29,0.2,0,net stress
0.36,0,0.15,0.05,3.66,0.2,0,0,4.37,4.4,0,25,0,0.27,0,3.85,0,11.22,0,5.8,1.5,0.13,1223728.83,1223728.83,46256,46256,0,0,0,31380324,23612460,27150468,16379900,12,0.388,0.69,3.574,1.321,-1,-1,1,0.69,0,0,280,36873,25350,0,4,0,0,25220,0,931,0.29,0.2,0,net stress
0.35,0,0.15,0,3.64,0.1,0,0,4.24,4.26,0,0,0,0,0,0,0,0,0,0,0,0,1222761.51,1222761.51,42400,42400,0,0,0,31380324,23611364,27149372,16379900,352,0.244,0.796,2.952,1.24,-1,-1,1,0.796,0,0,0,37563,18035,0,4,0,0,17976,0,932,0.29,0.2,0,net stress
