CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
3.32,0.0,0.35,2.61,3.42,0.05,0.0,0.0,7.14,7.13,0.0,2122.0,0.0,102.04,0.0,0.0,0.0,49.24,0.0,0.79,89.4,1.04,4.69,5.25,10.0,15.0,0.0,0.0,0.0,31380320.0,26466852.0,27910972.0,16379900.0,40.0,0,2.369,18.045,1.137,-1.0,-1.0,1.0,2.369,1.0,0.0,104482.0,42950.0,27593.0,0.0,7.0,2.0,0.0,27658.0,3.0,775.0,0.39,0.3,0.0
3.61,0.0,0.5,2.16,3.36,0.15,0.0,0.0,7.62,7.62,29.0,1807.0,0.45,76.92,0.0,0.0,16.0,43.59,0.1,0.82,94.6,1.06,5.65,4.43,11.0,10.0,0.0,0.0,0.0,31380320.0,26448160.0,27913728.0,16379900.0,160.0,0,1.982,25.765,2.251,-1.0,-1.0,1.0,1.982,3.0,0.0,78449.0,42045.0,26199.0,0.0,8.0,1.0,0.0,25892.0,3.0,775.0,0.39,0.3,0.0
11.52,0.0,0.8,2.45,2.75,0.05,0.0,0.0,15.12,15.13,9048.0,1038.0,141.48,37.81,0.0,0.0,16.01,37.3,0.09,0.9,61.0,0.63,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,26432080.0,27915224.0,16379900.0,0.0,0,2.096,24.223,1.037,-1.0,-1.0,1.0,2.096,1.0,0.0,38655.0,51830.0,41260.0,0.0,15.0,1.0,7.0,41198.0,2.0,777.0,0.39,0.3,0.0
0.55,0.0,0.25,4.72,3.51,0.1,0.0,0.0,4.41,4.42,0.0,2018.0,0.0,23.24,0.0,4.27,0.0,11.79,0.0,0.61,99.8,0.69,0.0,0.11,0.0,1.0,0.0,0.0,0.0,31380320.0,26439124.0,27925052.0,16379900.0,44.0,0,0.791,14.707,2.908,-1.0,-1.0,1.0,0.791,1.0,0.0,23832.0,39623.0,12164.0,0.0,4.0,1.0,17.0,12048.0,2.0,778.0,0.44,0.32,0.0
2.31,0.0,0.35,2.66,3.32,0.0,0.0,0.0,5.98,5.96,28.0,855.0,0.44,58.36,0.0,0.0,16.0,69.89,0.07,1.22,92.8,0.78,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,26435756.0,27921684.0,16379900.0,0.0,0,2.428,14.969,0.756,-1.0,-1.0,1.0,2.428,1.0,0.0,59843.0,40297.0,17823.0,0.0,6.0,2.0,0.0,17831.0,2.0,775.0,0.44,0.32,0.0
3.27,0.0,0.35,2.81,3.17,0.1,0.0,0.0,6.89,6.9,8.0,2146.0,0.12,101.56,0.0,0.0,16.0,48.46,0.0,0.86,89.0,1.27,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,26439660.0,27943132.0,16379900.0,72.0,0,2.239,21.716,1.377,-1.0,-1.0,1.0,2.239,0.0,0.0,107588.0,39935.0,24172.0,0.0,7.0,3.0,1.0,24182.0,1.0,774.0,0.44,0.32,0.0
2.56,0.0,0.3,2.16,3.46,0.15,0.0,0.0,6.47,6.48,13.0,1825.0,0.2,81.67,0.0,0.0,16.0,45.82,0.15,0.68,93.3,0.87,0.15,0.21,3.0,2.0,0.0,0.0,0.0,31380320.0,26418568.0,27944476.0,16379900.0,0.0,0,2.197,22.123,1.569,-1.0,-1.0,1.0,2.197,0.0,0.0,83741.0,40433.0,19980.0,0.0,7.0,2.0,0.0,20011.0,2.0,778.0,0.44,0.32,0.0
3.9,0.0,0.5,2.8,3.3,0.05,0.0,0.0,7.75,7.73,34.0,2143.0,0.53,102.11,0.0,0.0,16.0,48.79,0.09,0.91,91.1,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380320.0,26400820.0,27944428.0,16379900.0,152.0,0,2.351,26.937,1.931,-1.0,-1.0,1.0,2.351,1.0,0.0,104563.0,40439.0,24481.0,0.0,8.0,2.0,17.0,24411.0,2.0,775.0,0.49,0.33,0.0
3.02,0.0,0.4,2.61,3.32,0.1,0.0,0.0,6.84,6.87,35.0,2132.0,0.55,100.57,0.0,0.0,16.0,48.3,0.06,0.76,92.6,1.11,0.05,0.22,1.0,2.0,0.0,0.0,0.0,31380320.0,26359216.0,27923968.0,16379900.0,140.0,0,2.451,20.401,1.048,-1.0,-1.0,1.0,2.451,0.0,0.0,102986.0,40562.0,21864.0,0.0,7.0,0.0,1.0,21872.0,0.0,772.0,0.49,0.33,0.0
2.26,0.0,0.3,2.21,3.26,0.05,0.0,0.0,5.87,5.87,28.0,1849.0,0.44,82.99,0.0,0.0,16.0,45.96,0.11,0.64,93.7,0.82,4.73,1.03,8.0,7.0,0.0,0.0,0.0,31380320.0,26340884.0,27926696.0,16379900.0,28.0,0,2.473,13.789,0.664,-1.0,-1.0,1.0,2.473,1.0,0.0,84989.0,38679.0,16758.0,0.0,6.0,2.0,0.0,16741.0,2.0,778.0,0.49,0.33,0.0
2.9,0.0,0.35,2.55,3.45,0.1,0.0,0.0,6.8,6.79,41.0,2048.0,0.64,93.83,0.0,0.0,16.0,46.91,0.07,0.67,91.6,0.92,0.15,0.32,3.0,3.0,0.0,0.0,0.0,31380320.0,26319040.0,27923276.0,16379900.0,108.0,0,2.43,14.518,0.72,-1.0,-1.0,1.0,2.43,0.0,0.0,96072.0,43013.0,20757.0,0.0,7.0,2.0,9.0,20652.0,2.0,776.0,0.49,0.33,0.0
2.61,0.0,0.25,2.41,3.36,0.05,0.0,0.0,6.27,6.27,28.0,2010.0,0.44,87.2,0.0,0.0,16.0,44.43,0.07,0.9,93.3,1.32,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,26301440.0,27926032.0,16379900.0,236.0,0,2.368,21.339,1.108,-1.0,-1.0,1.0,2.368,1.0,0.0,88945.0,39294.0,17927.0,0.0,7.0,2.0,6.0,17795.0,2.0,776.0,0.53,0.34,0.0
2.76,0.0,0.35,2.66,3.41,0.1,0.0,0.0,6.62,6.6,111.0,1948.0,1.73,98.73,0.0,0.0,16.0,51.9,0.09,0.57,94.1,0.71,0.05,0.21,1.0,2.0,0.0,0.0,0.0,31380320.0,26290936.0,27933224.0,16379900.0,0.0,0,2.571,13.538,0.611,-1.0,-1.0,1.0,2.571,1.0,0.0,101441.0,38970.0,18685.0,0.0,7.0,2.0,0.0,18623.0,1.0,781.0,0.53,0.34,0.0
8.67,0.0,0.55,1.85,3.01,0.15,0.0,0.0,12.38,12.38,8654.0,1499.0,135.22,61.71,0.0,0.0,16.0,42.16,0.09,0.47,69.5,0.5,0.13,0.3,3.0,3.0,0.0,0.0,0.0,31380320.0,26274080.0,27936576.0,16379900.0,404.0,0,1.876,19.062,0.666,-1.0,-1.0,1.0,1.876,0.0,0.0,63183.0,49583.0,32903.0,0.0,12.0,4.0,7.0,32890.0,3.0,775.0,0.53,0.34,0.0
0.95,0.0,0.15,4.66,3.51,0.05,0.0,0.0,4.66,4.66,0.0,1739.0,0.0,25.76,0.0,0.0,0.0,15.17,0.0,0.57,99.7,0.59,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,26256184.0,27928744.0,16379900.0,0.0,0,2.492,24.413,0.671,-1.0,-1.0,1.0,2.492,1.0,0.0,26468.0,37191.0,8417.0,0.0,5.0,4.0,24.0,8330.0,1.0,780.0,0.53,0.34,0.0
1.9,0.0,0.55,3.5,3.4,0.05,0.0,0.0,5.9,5.88,119.0,1190.0,1.86,44.34,0.0,0.0,16.0,38.16,0.08,0.95,95.7,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380320.0,26261772.0,27934332.0,16379900.0,36.0,0,2.109,21.441,1.497,-1.0,-1.0,1.0,2.109,1.0,0.0,45642.0,38685.0,15074.0,0.0,6.0,2.0,30.0,15067.0,2.0,775.0,0.57,0.35,0.0
2.41,0.0,0.35,2.61,3.36,0.05,0.0,0.0,6.17,6.18,30.0,1587.0,0.47,80.1,0.0,0.0,16.0,51.68,0.07,1.05,94.3,1.19,0.05,0.11,1.0,1.0,0.0,0.0,0.0,31380320.0,26255500.0,27936320.0,16379900.0,112.0,0,2.51,14.691,0.759,-1.0,-1.0,1.0,2.51,0.0,0.0,82015.0,39606.0,18237.0,0.0,6.0,1.0,0.0,18200.0,2.0,780.0,0.57,0.35,0.0
2.71,0.0,0.25,2.61,3.27,0.05,0.0,0.0,6.28,6.29,34.0,2132.0,0.53,101.43,0.0,0.0,16.0,48.72,0.06,0.64,92.6,0.95,0.05,0.22,1.0,2.0,0.0,0.0,0.0,31380320.0,26240484.0,27941140.0,16379900.0,0.0,0,2.538,13.401,0.627,-1.0,-1.0,1.0,2.538,1.0,0.0,103883.0,39925.0,18857.0,0.0,7.0,2.0,0.0,18856.0,2.0,778.0,0.57,0.35,0.0
2.96,0.0,0.35,2.81,3.51,0.1,0.0,0.0,6.92,6.91,34.0,2169.0,0.53,98.42,0.0,0.0,16.0,46.47,0.06,0.79,92.7,1.25,0.05,0.22,1.0,2.0,0.0,0.0,0.0,31380320.0,26218444.0,27940180.0,16379900.0,0.0,0,2.497,17.142,0.788,-1.0,-1.0,1.0,2.497,0.0,0.0,100364.0,41519.0,19755.0,0.0,7.0,1.0,24.0,19752.0,1.0,775.0,0.57,0.35,0.0
2.96,0.0,0.4,2.56,3.31,0.0,0.0,0.0,6.67,6.69,23.0,1909.0,0.36,95.3,0.0,0.0,16.0,51.12,0.09,0.71,91.4,0.95,0.11,0.26,2.0,2.0,0.0,0.0,0.0,31380320.0,26200672.0,27940364.0,16379900.0,252.0,0,2.443,20.4,1.09,-1.0,-1.0,1.0,2.443,1.0,0.0,97810.0,40149.0,20866.0,0.0,7.0,2.0,31.0,20908.0,3.0,779.0,0.68,0.38,0.0
2.81,0.0,0.15,2.86,3.26,0.1,0.0,0.0,6.32,6.31,31.0,2121.0,0.48,100.39,0.0,0.0,16.0,48.47,0.06,0.92,92.9,1.31,0.1,0.44,2.0,4.0,0.0,0.0,0.0,31380320.0,26171176.0,27931972.0,16379900.0,12.0,0,2.619,13.46,0.626,-1.0,-1.0,1.0,2.619,1.0,0.0,103165.0,39028.0,20174.0,0.0,7.0,0.0,0.0,20116.0,0.0,773.0,0.68,0.38,0.0
2.5,0.0,0.25,2.25,3.44,0.1,0.0,0.0,6.29,6.26,28.0,1811.0,0.44,82.97,0.0,0.0,16.0,46.92,0.07,1.0,94.6,1.31,0.1,0.45,2.0,4.0,0.0,0.0,0.0,31380320.0,26157480.0,27938804.0,16379900.0,0.0,0,2.532,16.953,0.854,-1.0,-1.0,1.0,2.532,2.0,0.0,84965.0,38649.0,17188.0,0.0,6.0,1.0,0.0,17131.0,2.0,776.0,0.68,0.38,0.0
2.86,0.0,0.15,2.71,3.31,0.1,0.0,0.0,6.42,6.45,35.0,2195.0,0.55,102.07,0.0,0.0,16.0,47.62,0.06,0.84,93.5,1.29,0.05,0.22,1.0,2.0,0.0,0.0,0.0,31380320.0,26124332.0,27924008.0,16379900.0,104.0,0,2.555,15.841,0.714,-1.0,-1.0,1.0,2.555,0.0,0.0,104520.0,40548.0,19594.0,0.0,7.0,2.0,2.0,19611.0,3.0,783.0,0.68,0.38,0.0
3.26,0.0,0.45,2.3,3.76,0.1,0.0,0.0,7.57,7.57,42.0,2047.0,0.66,88.53,0.0,0.0,16.0,44.29,0.1,0.94,93.8,1.37,0.15,0.33,3.0,3.0,0.0,0.0,0.0,31380320.0,26098668.0,27919412.0,16379900.0,0.0,0,2.234,24.567,1.551,-1.0,-1.0,1.0,2.234,1.0,0.0,90658.0,42400.0,19115.0,0.0,7.0,2.0,6.0,19090.0,3.0,779.0,0.79,0.41,0.0
2.76,0.0,0.35,2.76,3.31,0.05,0.0,0.0,6.47,6.49,385.0,1902.0,6.02,94.67,0.0,0.0,16.0,50.97,0.06,0.72,92.2,0.95,0.08,0.4,1.0,3.0,0.0,0.0,0.0,31380320.0,26080856.0,27919596.0,16379900.0,0.0,0,2.48,17.788,0.791,-1.0,-1.0,1.0,2.48,0.0,0.0,96947.0,41054.0,21271.0,0.0,7.0,2.0,0.0,21310.0,2.0,781.0,0.79,0.41,0.0
8.91,0.0,0.55,2.8,3.1,0.0,0.0,0.0,12.56,12.59,7561.0,1471.0,118.14,41.07,0.0,0.07,16.0,28.59,0.09,0.43,65.6,0.35,0.2,0.45,4.0,4.0,0.0,0.0,0.0,31380320.0,26072904.0,27932236.0,16379900.0,32.0,0,2.246,18.101,0.307,-1.0,-1.0,1.0,2.246,1.0,0.0,42152.0,47470.0,26588.0,0.0,13.0,2.0,26.0,26079.0,1.0,780.0,0.79,0.41,0.0
2.25,0.0,0.35,2.85,3.4,0.15,0.0,0.0,6.15,6.15,104.0,1144.0,1.62,56.29,0.0,0.0,16.0,50.39,0.08,1.07,94.1,0.91,0.05,0.22,1.0,2.0,0.0,0.0,0.0,31380320.0,26068652.0,27928008.0,16379900.0,32.0,0,2.186,16.376,0.899,-1.0,-1.0,1.0,2.186,1.0,0.0,57587.0,42031.0,16019.0,0.0,6.0,1.0,24.0,16011.0,1.0,775.0,0.79,0.41,0.0
2.36,0.0,0.25,2.16,3.42,0.05,0.0,0.0,6.08,6.07,6.0,2224.0,0.09,96.67,0.0,0.0,16.0,44.51,0.0,0.66,93.3,1.03,0.05,0.22,1.0,2.0,0.0,0.0,0.0,31380320.0,26058224.0,27932580.0,16379900.0,304.0,0,2.353,21.02,1.105,-1.0,-1.0,1.0,2.353,1.0,0.0,98165.0,42139.0,19138.0,0.0,6.0,1.0,6.0,19065.0,1.0,781.0,0.8,0.42,0.0
2.8,0.0,0.25,2.8,3.35,0.2,0.0,0.0,6.6,6.58,34.0,1932.0,0.53,95.17,0.0,0.0,16.0,50.44,0.09,0.91,93.6,1.24,0.05,0.34,1.0,3.0,0.0,0.0,0.0,31380320.0,26041124.0,27932580.0,16379900.0,104.0,0,2.71,12.63,0.594,-1.0,-1.0,1.0,2.71,1.0,0.0,97610.0,41243.0,18607.0,0.0,7.0,2.0,0.0,18550.0,4.0,779.0,0.8,0.42,0.0
4.49,0.0,0.85,2.74,3.14,0.05,0.0,0.0,8.53,8.5,33.0,2138.0,0.52,94.94,0.0,0.0,16.0,45.47,0.06,0.86,92.7,1.18,0.17,0.81,3.0,7.0,0.0,0.0,0.0,31380320.0,26007564.0,27920464.0,16379900.0,120.0,0,1.935,24.41,2.31,-1.0,-1.0,1.0,1.935,0.0,0.0,97224.0,44302.0,34713.0,0.0,8.0,2.0,14.0,34675.0,3.0,780.0,0.8,0.42,0.0
4.92,0.0,0.55,2.76,3.11,0.15,0.0,0.0,8.73,8.72,17.0,1884.0,0.27,94.33,0.0,0.0,16.0,51.27,0.06,1.01,90.6,1.42,5.12,2.72,14.0,19.0,0.0,0.0,0.0,31380320.0,25984936.0,27915536.0,16379900.0,196.0,0,1.897,19.264,2.227,-1.0,-1.0,1.0,1.897,0.0,0.0,96920.0,44326.0,37358.0,0.0,9.0,3.0,24.0,37247.0,1.0,784.0,0.8,0.42,0.0
3.2,0.0,0.6,2.55,3.36,0.15,0.0,0.0,7.31,7.3,34.0,2151.0,0.53,101.29,0.0,0.0,16.0,48.22,0.09,0.77,91.2,1.13,0.04,0.35,1.0,3.0,0.0,0.0,0.0,31380320.0,25955460.0,27907976.0,16379900.0,40.0,0,2.342,22.149,1.335,-1.0,-1.0,1.0,2.342,0.0,0.0,103983.0,42797.0,25020.0,0.0,7.0,2.0,6.0,25009.0,1.0,774.0,0.82,0.43,0.0
2.45,0.0,0.15,2.35,3.55,0.1,0.0,0.0,6.25,6.24,35.0,2079.0,0.55,88.95,0.0,0.0,16.0,43.81,0.09,0.88,94.2,1.35,0.1,0.43,2.0,4.0,0.0,0.0,0.0,31380320.0,25938824.0,27912428.0,16379900.0,0.0,0,2.308,16.656,0.782,-1.0,-1.0,1.0,2.308,1.0,0.0,91333.0,43026.0,17565.0,0.0,6.0,2.0,0.0,17516.0,4.0,780.0,0.82,0.43,0.0
3.04,0.0,0.55,2.54,3.59,0.1,0.0,0.0,7.28,7.27,34.0,2143.0,0.53,101.64,0.0,0.0,16.0,48.57,0.06,1.05,92.5,1.53,0.11,0.2,2.0,2.0,0.0,0.0,0.0,31380320.0,25923080.0,27914104.0,16379900.0,0.0,0,2.523,16.735,0.847,-1.0,-1.0,1.0,2.523,1.0,0.0,103906.0,41176.0,20942.0,0.0,7.0,4.0,9.0,20959.0,2.0,783.0,0.82,0.43,0.0
2.41,0.0,0.25,2.31,3.36,0.05,0.0,0.0,6.07,6.07,43.0,2104.0,0.67,94.73,0.0,0.0,16.0,46.1,0.05,1.02,94.3,1.52,0.08,0.19,2.0,2.0,0.0,0.0,0.0,31380320.0,25912616.0,27924864.0,16379900.0,0.0,0,2.481,16.397,0.838,-1.0,-1.0,1.0,2.481,1.0,0.0,96521.0,40594.0,17862.0,0.0,6.0,2.0,0.0,17854.0,4.0,781.0,0.82,0.43,0.0
4.21,0.0,0.5,2.66,3.06,0.1,0.0,0.0,7.87,7.9,5841.0,1892.0,91.27,88.77,0.0,0.0,16.0,48.05,0.08,0.67,91.4,0.86,0.1,0.21,2.0,2.0,0.0,0.0,0.0,31380320.0,25895180.0,27924984.0,16379900.0,168.0,0,2.391,25.3,1.123,-1.0,-1.0,1.0,2.391,0.0,0.0,90757.0,46169.0,33747.0,0.0,8.0,5.0,10.0,33713.0,5.0,785.0,1.4,0.55,0.0
4.05,0.0,0.35,3.85,3.2,0.0,0.0,0.0,7.6,7.59,0.0,1986.0,0.0,48.06,0.0,0.0,0.0,24.78,0.0,0.44,83.2,0.49,0.1,0.21,2.0,2.0,0.0,0.0,0.0,31380320.0,25862568.0,27908584.0,16379900.0,44.0,0,2.634,27.077,0.425,-1.0,-1.0,1.0,2.634,1.0,0.0,49282.0,38831.0,11340.0,0.0,8.0,1.0,23.0,11290.0,0.0,777.0,1.4,0.55,0.0
1.55,0.0,0.25,3.5,3.35,0.1,0.0,0.0,5.25,5.27,115.0,1374.0,1.8,42.82,0.0,0.07,16.0,31.91,0.09,0.81,96.3,0.8,0.2,0.43,4.0,4.0,0.0,0.0,0.0,31380320.0,25878044.0,27924076.0,16379900.0,40.0,0,1.894,19.605,1.366,-1.0,-1.0,1.0,1.894,0.0,0.0,43798.0,37245.0,13522.0,0.0,6.0,2.0,24.0,13518.0,1.0,777.0,1.4,0.55,0.0
2.75,0.0,0.35,2.8,3.3,0.15,0.0,0.0,6.55,6.56,19.0,2264.0,0.3,102.2,0.0,0.0,16.0,46.22,0.05,0.81,91.4,1.31,0.0,0.12,0.0,1.0,0.0,0.0,0.0,31380320.0,25871816.0,27928228.0,16379900.0,256.0,0,2.415,18.671,0.882,-1.0,-1.0,1.0,2.415,0.0,0.0,104646.0,40085.0,20069.0,0.0,7.0,2.0,1.0,20076.0,2.0,774.0,1.4,0.55,0.0
2.86,0.0,0.45,2.45,3.41,0.1,0.0,0.0,6.82,6.8,34.0,1882.0,0.53,90.54,0.0,0.0,16.0,49.26,0.06,0.79,92.4,1.07,0.0,0.12,0.0,1.0,0.0,0.0,0.0,31380320.0,25852884.0,27927384.0,16379900.0,40.0,0,2.447,20.233,1.017,-1.0,-1.0,1.0,2.447,1.0,0.0,92486.0,40286.0,20835.0,0.0,7.0,3.0,6.0,20829.0,2.0,777.0,1.36,0.56,0.0
3.06,0.0,0.35,2.71,3.31,0.05,0.0,0.0,6.77,6.77,29.0,2173.0,0.45,102.51,0.0,0.0,16.0,48.31,0.07,0.65,92.2,0.98,0.05,0.22,1.0,2.0,0.0,0.0,0.0,31380320.0,25830524.0,27925820.0,16379900.0,0.0,0,2.424,16.801,0.78,-1.0,-1.0,1.0,2.424,0.0,0.0,104464.0,40328.0,20858.0,0.0,7.0,1.0,25.0,20878.0,1.0,779.0,1.36,0.56,0.0
