CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
0.1,0,0.05,0.0,1.26,0.15,0,0,1.56,1.55,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0.26,4,4,0.0,0,0,31380316,25857688,27248276,16379900,36,0.17,0.419,20.797,2.962,-1,-1,1,0.419,0,0,0,35905,1214,0,2,0,0.0,1175.0,0,802,0.09,0.13,0
0.15,0,0.1,0.0,1.3,0.0,0,0,1.55,1.55,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.06,1,1,0.0,0,0,31380316,25863676,27254264,16379900,36,0.142,0.465,26.028,3.424,-1,-1,1,0.465,0,0,0,35849,1410,0,2,1,1.0,1390.0,3,809,0.09,0.13,0
0.05,0,0.2,0.0,1.45,0.05,0,0,1.75,1.75,0,2,0.0,0.01,0,0.0,0.0,4.0,0,8.5,0.9,0.02,0.0,0.0,0,0,0.0,0,0,31380316,25865352,27255944,16379900,36,0.14,0.448,18.998,2.549,-1,-1,1,0.448,0,0,8,35983,1189,0,2,1,0.0,1172.0,1,805,0.09,0.13,0
0.2,0,0.25,0.0,1.4,0.2,0,0,2.05,2.05,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.06,1,1,0.0,0,0,31380316,25866852,27257444,16379900,36,0.398,0.585,27.824,6.09,-1,-1,1,0.585,0,0,0,36917,1942,0,2,1,6.0,1905.0,1,805,0.09,0.13,0
0.05,0,0.1,0.0,1.1,0.05,0,0,1.3,1.31,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.3,0.32,6,5,0.0,0,0,31380316,25864040,27254632,16379900,28,0.122,0.43,21.835,2.685,-1,-1,1,0.43,0,0,0,35941,1282,0,2,2,2.0,1238.0,0,802,0.09,0.13,0
0.1,0,0.2,0.05,1.35,0.1,0,0,1.75,1.84,0,28,0.0,0.23,0,6.67,0.0,8.48,0,5.36,2.0,0.14,4.4,1.02,6,6,0.04,0,0,31380316,25864000,27254592,16379900,28,0.116,0.512,23.435,2.654,-1,-1,1,0.512,0,0,238,35377,1533,0,2,0,0.0,1523.0,0,802,0.09,0.13,0
0.3,0,0.2,0.0,1.35,0.1,0,0,1.95,1.94,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.13,2,2,0.0,0,0,31380316,25867740,27258332,16379900,28,0.096,0.46,20.36,2.811,-1,-1,1,0.46,0,0,0,35538,1373,0,2,0,0.0,1300.0,0,802,0.09,0.13,0
0.15,0,0.1,0.0,1.16,0.1,0,0,1.51,1.67,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.06,1,1,0.0,0,0,31380316,25865232,27255824,16379900,28,0.292,0.645,38.845,4.85,-1,-1,1,0.645,0,0,0,36349,1943,0,2,3,6.0,1932.0,2,807,0.08,0.12,0
0.05,0,0.15,0.0,1.4,0.1,0,0,1.7,1.7,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.13,1,2,0.0,0,0,31380316,25864356,27254948,16379900,28,0.114,0.488,21.452,3.237,-1,-1,1,0.488,0,0,0,35435,1228,0,2,1,0.0,1221.0,0,803,0.08,0.12,0
0.2,0,0.2,0.0,1.3,0.05,0,0,1.75,1.75,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.13,2,2,0.0,0,0,31380316,25851968,27242560,16379900,28,0.086,0.463,23.696,4.65,-1,-1,1,0.463,0,0,0,35662,1519,0,2,0,0.0,1474.0,0,805,0.08,0.12,0
