sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,procs
100929636.0,109310356.0,4156.0,7459.0,26633216.0,26748928.0,490.0,496.0,507584174.0,0.0,525301791.0,10522426753.0,6123934348.0,19901519989.0,14
99223636.0,107642559.0,4078.0,7328.0,26556928.0,26560000.0,470.0,472.0,511071380.0,0.0,506571025.0,10214211095.0,5165581438.0,16967518741.0,14
98864722.0,107697662.0,4058.0,7317.0,26642944.0,26640896.0,480.0,480.0,499980127.0,0.0,519575870.0,9031751351.0,5860353432.0,19225724601.0,14
98030744.0,106948144.0,4031.0,7273.0,26484224.0,26478080.0,502.0,502.0,535277081.0,0.0,540851922.0,9038130748.0,5595875664.0,19811219028.0,14
98047280.0,106584135.0,4038.0,7254.0,26628608.0,26626560.0,484.0,486.0,506511284.0,0.0,530208301.0,9327101306.0,6450961218.0,20553089031.0,14
89233130.0,96444478.0,3666.0,6562.0,50733056.0,50953216.0,494.0,497.0,408120686.0,0.0,600923675.0,8733015313.0,5452701572.0,17328049310.0,14
96981994.0,104856918.0,3985.0,7147.0,50895872.0,51153920.0,509.0,509.0,476452198.0,0.0,622129871.0,14684629699.0,4718526014.0,16006189691.0,14
96062017.0,104274793.0,3954.0,7102.0,26341888.0,26353152.0,449.0,452.0,479241964.0,0.0,499496921.0,13800597225.0,5191673812.0,16033955879.0,14
96723555.0,104951641.0,3981.0,7152.0,26039296.0,26248192.0,503.0,503.0,541871839.0,0.0,549679888.0,9632183946.0,5782723626.0,19797476228.0,14
96945867.0,105621599.0,3990.0,7203.0,26713600.0,26717696.0,488.0,489.0,519981040.0,0.0,525325886.0,9029350613.0,5484704032.0,18614225082.0,14
99137268.0,107133685.0,4085.0,7314.0,26828800.0,26832896.0,483.0,484.0,494600038.0,0.0,518482608.0,9613849112.0,5123230638.0,16741922773.0,14
97570695.0,106493321.0,4032.0,7247.0,26922496.0,26962432.0,487.0,488.0,522852004.0,0.0,528211496.0,11706899865.0,5911283672.0,19982286287.0,14
95124381.0,103654106.0,3918.0,7046.0,26017792.0,26010112.0,503.0,502.0,510273651.0,0.0,547656595.0,9031758996.0,6147975800.0,20828106806.0,14
86734121.0,95342674.0,3567.0,6446.0,50395136.0,50399232.0,450.0,452.0,414329361.0,0.0,608207525.0,9031137325.0,5764582870.0,16708658433.0,14
98514686.0,107965533.0,4053.0,7312.0,51406336.0,51422720.0,490.0,494.0,459139928.0,0.0,572176458.0,9328550261.0,5524731806.0,15517845331.0,14
98027630.0,106870527.0,4042.0,7287.0,27504128.0,27570176.0,553.0,560.0,526937190.0,0.0,550897977.0,9031736522.0,5659825852.0,19980541613.0,14
96192951.0,104850512.0,3961.0,7150.0,26378240.0,26491904.0,483.0,486.0,542260827.0,0.0,538601062.0,9921367514.0,5334520192.0,18546625172.0,14
98898010.0,108040002.0,4065.0,7347.0,26720768.0,26723840.0,489.0,490.0,506930782.0,0.0,534777807.0,8439649022.0,5455486438.0,18305673801.0,14
96719926.0,105312463.0,3983.0,7172.0,26826240.0,26826240.0,483.0,484.0,527809642.0,0.0,523781323.0,9331745765.0,4979605314.0,17608304226.0,14
100997714.0,109812421.0,4147.0,7474.0,26758144.0,26766336.0,493.0,495.0,530201754.0,0.0,535749362.0,9339432466.0,5972575874.0,19392306595.0,14
95548205.0,103810971.0,3929.0,7049.0,26332160.0,26325504.0,475.0,475.0,486894324.0,0.0,524377819.0,9323719346.0,6706057958.0,20645423366.0,14
89238170.0,97159679.0,3672.0,6610.0,50809856.0,50802176.0,487.0,486.0,426541070.0,0.0,561148819.0,10216988445.0,7253932062.0,21056383355.0,14
