sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,procs
100295951.0,107942813.0,4137.0,7356.0,18783232.0,18791424.0,466.0,469.0,552268287.0,0.0,516336754.0,10215317181.0,4477028537.0,15561689207.0,14
94894983.0,103513884.0,3921.0,7075.0,28363776.0,29153792.0,455.0,461.0,501008531.0,0.0,503441751.0,10224937674.0,4539009496.0,16189401783.0,14
98094742.0,107259199.0,4049.0,7296.0,24899584.0,25026560.0,576.0,590.0,540300457.0,0.0,557498295.0,8436158246.0,4502036828.0,16624762187.0,14
97513423.0,106149265.0,4052.0,7255.0,24383488.0,24382464.0,438.0,438.0,481575841.0,0.0,485054857.0,9027211276.0,5221183488.0,15857195512.0,14
89862508.0,97568663.0,3715.0,6665.0,49400832.0,49159168.0,506.0,508.0,461235869.0,0.0,583376402.0,9621552994.0,5413674308.0,17446621168.0,14
91362369.0,99630035.0,3771.0,6778.0,52211712.0,52211200.0,507.0,507.0,466802246.0,0.0,616463321.0,9630337431.0,5327244060.0,17125834219.0,14
90124105.0,98152255.0,3720.0,6707.0,49193984.0,49191424.0,514.0,515.0,476788718.0,0.0,619478946.0,9327231477.0,5256090988.0,15532382990.0,14
89056785.0,96507553.0,3668.0,6574.0,74946560.0,74957312.0,552.0,552.0,441356785.0,0.0,683697069.0,14683424053.0,4878707284.0,14870556004.0,14
89323915.0,97712247.0,3685.0,6653.0,69230080.0,69750272.0,531.0,532.0,447981170.0,0.0,695916114.0,14676117246.0,4839851418.0,13836719941.0,14
86275970.0,93714679.0,3555.0,6347.0,79546880.0,81893888.0,490.0,503.0,456034378.0,0.0,700188371.0,9336899348.0,6241622492.0,16089332908.0,14
88228772.0,96758694.0,3638.0,6559.0,62324224.0,60426752.0,433.0,435.0,427417179.0,0.0,654803146.0,9334053660.0,4448223348.0,11713197246.0,14
92556364.0,102264804.0,3815.0,6968.0,28152320.0,28156416.0,434.0,436.0,520083617.0,0.0,556490053.0,9328259314.0,4918784652.0,17017278512.0,14
96760165.0,105828634.0,3989.0,7197.0,24143360.0,24148480.0,416.0,419.0,479266159.0,0.0,541370097.0,9031730999.0,4999475238.0,16563117852.0,14
100189446.0,109428401.0,4132.0,7443.0,26143744.0,26147328.0,492.0,493.0,519923506.0,0.0,533750140.0,9325335473.0,4618652180.0,16186192084.0,14
