sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,procs
91412922.0,97694833.0,3754.0,6637.0,64569856.0,65134592.0,471.0,479.0,448490759.0,0.0,554292737.0,9331961056.0,5605072204.0,14779514935.0,14
95187202.0,103522661.0,3917.0,7046.0,39543296.0,39546880.0,515.0,515.0,527142451.0,0.0,554154711.0,9620741425.0,7812946006.0,22836480028.0,14
96005002.0,104396261.0,3952.0,7089.0,27631104.0,27639296.0,467.0,469.0,486547130.0,0.0,513317563.0,9336029440.0,6045519790.0,18142007889.0,14
97594892.0,105423363.0,4011.0,7195.0,27484160.0,27484672.0,474.0,475.0,509591087.0,0.0,521931426.0,9925848689.0,8095714892.0,24102302649.0,14
97256318.0,105728140.0,4002.0,7204.0,27204096.0,27485696.0,462.0,464.0,470534287.0,0.0,496291100.0,9340526782.0,6228554312.0,19547831149.0,14
89269148.0,96833423.0,3666.0,6594.0,52154880.0,52144640.0,520.0,520.0,424482380.0,0.0,594087831.0,9625230891.0,6617590580.0,19485363848.0,14
90335374.0,98108263.0,3716.0,6663.0,52626432.0,52634112.0,544.0,546.0,469680509.0,0.0,637236945.0,10513069424.0,6956959662.0,19300842943.0,14
89331554.0,97407434.0,3669.0,6627.0,31908352.0,32018944.0,429.0,430.0,448910321.0,0.0,472510003.0,9030546177.0,6426310456.0,16439552494.0,14
95919538.0,104266548.0,3950.0,7090.0,27041792.0,27034112.0,459.0,459.0,514644907.0,0.0,496520468.0,9920503148.0,6130156262.0,18728377067.0,14
97859720.0,106450382.0,4021.0,7263.0,27862016.0,27862528.0,482.0,484.0,520143753.0,0.0,524523599.0,9336927154.0,6049721698.0,19086037422.0,14
97889714.0,105936894.0,4024.0,7225.0,28133888.0,28141056.0,515.0,517.0,544219928.0,0.0,566060339.0,9024455630.0,5870706936.0,19596356169.0,14
96790444.0,105184740.0,3979.0,7142.0,27662848.0,27672064.0,457.0,459.0,509886265.0,0.0,515343259.0,9624091889.0,6400361362.0,19352116951.0,14
98469862.0,107106315.0,4056.0,7280.0,28378112.0,28436992.0,569.0,576.0,537107694.0,0.0,760163822.0,8438000461.0,6990117312.0,22214059877.0,14
93816756.0,102715131.0,3846.0,6966.0,26586112.0,26586112.0,480.0,482.0,519611205.0,0.0,520372068.0,9337066295.0,8038081406.0,24807863239.0,14
92012674.0,99839585.0,3779.0,6779.0,45774336.0,45773312.0,489.0,489.0,404122064.0,0.0,600468122.0,9330661767.0,6238546088.0,16520793444.0,14
82849700.0,89793290.0,3403.0,6101.0,63694336.0,64226304.0,495.0,497.0,400538329.0,0.0,613532123.0,8439257096.0,7106576820.0,20417370785.0,14
