sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,procs
103102900.0,111775093.0,3880.0,7672.0,23252480.0,23536640.0,522.0,530.0,612400880.0,0.0,571254752.0,8425931971.0,951454300.0,4347249546.0,14
102350326.0,110438197.0,3842.0,7594.0,23977472.0,24210944.0,522.0,524.0,547993528.0,0.0,570388369.0,7240981288.0,896829280.0,3931433234.0,14
100174438.0,109275668.0,3758.0,7465.0,23281152.0,23286272.0,469.0,471.0,553512539.0,0.0,532350185.0,6948269499.0,877332746.0,3975943232.0,14
102538711.0,112246478.0,3855.0,7652.0,23675904.0,23676928.0,498.0,498.0,529680252.0,0.0,549598149.0,7239987320.0,858425448.0,3748836663.0,14
91906237.0,100470867.0,3457.0,6862.0,22244352.0,22258176.0,458.0,460.0,458629518.0,0.0,503223776.0,6654017329.0,1200974554.0,4569449121.0,14
93492907.0,101532460.0,3514.0,6952.0,65291776.0,65301504.0,543.0,545.0,459958313.0,0.0,639255100.0,8427763233.0,886184500.0,3435083832.0,14
102604192.0,111202676.0,3857.0,7616.0,23748608.0,23490560.0,542.0,542.0,570751941.0,0.0,596083962.0,7840507488.0,921674898.0,4097050510.0,14
102064583.0,110856318.0,3837.0,7573.0,23956480.0,23956480.0,494.0,494.0,552163295.0,0.0,546486695.0,7237738007.0,901337716.0,3968835529.0,14
101504295.0,110525114.0,3814.0,7587.0,23879168.0,23883264.0,496.0,497.0,542244348.0,0.0,544253468.0,7230779195.0,973386236.0,4128315201.0,14
101774092.0,111316792.0,3827.0,7582.0,24200192.0,24200192.0,536.0,536.0,557915735.0,0.0,581010238.0,8127003983.0,960650624.0,4165415460.0,14
98581043.0,109004968.0,3711.0,7431.0,23583744.0,23593472.0,489.0,491.0,536539792.0,0.0,540788674.0,7844212979.0,1117682172.0,4487634646.0,14
100175410.0,109472979.0,3769.0,7481.0,23700480.0,23710208.0,526.0,528.0,596690178.0,0.0,575954956.0,7831936045.0,984156998.0,4367836563.0,14
93831351.0,101547845.0,3519.0,6923.0,53273088.0,53282816.0,520.0,523.0,890947409.0,0.0,592219769.0,6351436461.0,1067306736.0,3781803578.0,14
95255896.0,103885133.0,3585.0,7111.0,39960064.0,39961088.0,454.0,454.0,3491105844.0,0.0,526787327.0,6638169912.0,1141328094.0,3823211252.0,14
101807514.0,112433879.0,3830.0,7677.0,23790592.0,23790592.0,507.0,507.0,3722298206.0,0.0,550530697.0,6951572427.0,1141218374.0,4432885697.0,14
102833105.0,112589164.0,3869.0,7695.0,24843776.0,24945152.0,561.0,576.0,7701283009.0,0.0,552842312.0,7836294898.0,1015810114.0,4133507475.0,14
99942538.0,108371410.0,3762.0,7452.0,23758848.0,23765504.0,518.0,520.0,1772959118.0,0.0,564488664.0,7537700045.0,945726940.0,4077583873.0,14
100866410.0,109824009.0,3791.0,7526.0,23685120.0,23693824.0,531.0,532.0,614082520.0,0.0,587534128.0,6339618889.0,1145048812.0,4599999960.0,14
103863249.0,113365543.0,3901.0,7738.0,23906816.0,23911936.0,511.0,513.0,566655792.0,0.0,559411388.0,7541958666.0,1104087770.0,4430953072.0,14
100607851.0,109183715.0,3780.0,7485.0,23839744.0,23845376.0,514.0,514.0,536079171.0,0.0,553314139.0,6948914183.0,1117221222.0,4408232346.0,14
92969916.0,101488200.0,3498.0,6951.0,48234496.0,48234496.0,507.0,507.0,456731780.0,0.0,590001954.0,7835459564.0,1236339194.0,4343043715.0,14
99111707.0,108983089.0,3729.0,7459.0,40870400.0,40876032.0,545.0,545.0,555406937.0,0.0,618152105.0,7832347648.0,1090255142.0,4288532681.0,14
89247810.0,96775996.0,3352.0,6634.0,47289856.0,47302144.0,520.0,523.0,471181592.0,0.0,630404611.0,6356845074.0,1090914310.0,3776313189.0,14
91230729.0,99808668.0,3425.0,6784.0,47134720.0,47659008.0,489.0,489.0,448960317.0,0.0,607344071.0,8126196548.0,1092327260.0,3672091436.0,14
93284262.0,100534699.0,3507.0,6903.0,74328064.0,74337792.0,583.0,586.0,5239345553.0,0.0,746224290.0,6646982740.0,1224812180.0,4195290473.0,14
89840115.0,97640624.0,3374.0,6675.0,47453696.0,47455232.0,501.0,502.0,2536153155.0,0.0,628795956.0,7536981433.0,1223999206.0,4255645240.0,14
89510326.0,98429561.0,3367.0,6705.0,61949440.0,61961728.0,528.0,531.0,3091844275.0,0.0,650923437.0,7547610145.0,1149134690.0,4100119491.0,14
100444336.0,109725541.0,3771.0,7503.0,23520768.0,23516160.0,497.0,497.0,8595145892.0,0.0,538407589.0,7529180078.0,1295548056.0,4896118386.0,14
91071723.0,99479067.0,3429.0,6787.0,47570944.0,47585792.0,523.0,528.0,5793566463.0,0.0,622048749.0,7538362690.0,1464500434.0,4919412189.0,14
101192792.0,110469997.0,3802.0,7554.0,38167040.0,38490112.0,496.0,499.0,8635348225.0,0.0,609298250.0,7533446702.0,1206043842.0,4040920732.0,14
38279642.0,42177490.0,1450.0,2900.0,7273984.0,7272960.0,221.0,220.0,3605782355.0,0.0,247490362.0,7833322728.0,456898618.0,2064290658.0,14
Concurrency: 14
Virtual Hosts: 5
Measurements: 5
Tag cardinalities: [100 12]
Points per series: 10000
Total series: 6000
Total points: 60000000
Total fields per point: 1
