sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,procs
101498220.0,109235114.0,3969.0,7455.0,18583040.0,18641920.0,475.0,480.0,3166535362.0,0.0,521680163.0,8432570200.0,1177751728.0,4894681407.0,14
97698599.0,106374970.0,3817.0,7256.0,28798464.0,28798464.0,457.0,457.0,573008370.0,0.0,503318476.0,7838786980.0,1268621334.0,4909676360.0,14
99620755.0,110015076.0,3890.0,7436.0,24187904.0,24192000.0,488.0,487.0,2926547907.0,0.0,528429025.0,9019605023.0,1165004294.0,5098424753.0,14
98731789.0,107553899.0,3869.0,7346.0,24350720.0,24359424.0,452.0,453.0,5863576291.0,0.0,494434411.0,13491371371.0,1074477836.0,4511129972.0,14
100436394.0,110254097.0,3925.0,7500.0,24715264.0,24718336.0,520.0,520.0,8385073585.0,0.0,573350682.0,12598144332.0,1203684660.0,5134751033.0,14
94010278.0,101456338.0,3676.0,6940.0,23065088.0,22966784.0,462.0,461.0,4252940919.0,0.0,512815084.0,7840961685.0,1100639856.0,4620537186.0,14
91949109.0,99641399.0,3607.0,6800.0,48869376.0,48869376.0,521.0,520.0,3178415403.0,0.0,636412051.0,6941404936.0,1333213108.0,5186667506.0,14
98563589.0,107553966.0,3853.0,7313.0,49700352.0,49717248.0,532.0,535.0,8789217843.0,0.0,612036410.0,7239945044.0,1236855148.0,4896898401.0,14
99264553.0,107796355.0,3883.0,7355.0,24157184.0,24152576.0,454.0,452.0,4136086436.0,0.0,493780972.0,6953046343.0,1259116432.0,4681966179.0,14
99333635.0,107822880.0,3883.0,7373.0,26771968.0,27513344.0,634.0,676.0,4092620371.0,0.0,522972706.0,6941061936.0,1201145976.0,5071525971.0,14
101670539.0,111380434.0,3979.0,7579.0,24668160.0,24710144.0,456.0,459.0,13533066638.0,0.0,497513930.0,6636871175.0,1147236028.0,4737495929.0,14
97703370.0,106236648.0,3825.0,7264.0,23961600.0,23965696.0,491.0,492.0,3723769533.0,0.0,541892562.0,7842419033.0,1377164908.0,5725007014.0,14
99899163.0,108842406.0,3905.0,7436.0,23365120.0,24324096.0,504.0,506.0,9317448098.0,0.0,546869531.0,7549104746.0,1406118510.0,5691922045.0,14
92042964.0,100097521.0,3605.0,6828.0,22977024.0,22982144.0,451.0,453.0,7618939444.0,0.0,498793460.0,7239500680.0,1491264026.0,5628138380.0,14
90248248.0,98187488.0,3533.0,6712.0,65596928.0,65694208.0,580.0,579.0,2445018385.0,0.0,706945236.0,6353265882.0,1501010150.0,5732112865.0,14
101500059.0,111007559.0,3973.0,7556.0,24419840.0,24428544.0,493.0,494.0,539006240.0,0.0,543280642.0,6342290394.0,1317311794.0,5756084011.0,14
99899416.0,108623200.0,3907.0,7405.0,24371200.0,24380928.0,480.0,482.0,5621706839.0,0.0,526318633.0,7547638724.0,1412009870.0,5614129183.0,14
99532035.0,108238786.0,3905.0,7396.0,24755712.0,24803840.0,484.0,485.0,503008690.0,0.0,525442979.0,8133040425.0,1293797008.0,5302367372.0,14
101427572.0,110223332.0,3966.0,7517.0,24786432.0,24790528.0,491.0,491.0,534746120.0,0.0,533744198.0,6942399936.0,1431832662.0,5307988445.0,14
97374724.0,106100345.0,3817.0,7224.0,23832576.0,24176640.0,452.0,455.0,470659852.0,0.0,499389973.0,6350653196.0,1303710212.0,4800605359.0,14
100170517.0,109026653.0,3920.0,7444.0,24299008.0,24630272.0,503.0,505.0,568000609.0,0.0,548768212.0,6643500492.0,1359025518.0,5691246107.0,14
90747053.0,98231606.0,3547.0,6699.0,22422528.0,22432256.0,441.0,442.0,431164892.0,0.0,482007936.0,7834926195.0,1572163734.0,5471959850.0,14
92678609.0,100845132.0,3629.0,6870.0,66046464.0,66047488.0,518.0,518.0,420230140.0,0.0,581387148.0,8428325489.0,1390453114.0,4799916057.0,14
91341668.0,98341028.0,3564.0,6747.0,48757760.0,48756736.0,531.0,530.0,528751129.0,0.0,652426052.0,7836256384.0,1489908826.0,5426914332.0,14
89511246.0,96914482.0,3512.0,6638.0,74802688.0,74827264.0,571.0,572.0,887070504.0,0.0,738970827.0,6953581653.0,1607623482.0,5572109864.0,14
