,CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,index
std,0.17590078268770118,0.0,0.06073656801272407,0.01689140726364988,0.11752723565071255,0.030384440843331292,0.0,0.0,0.16903448864313567,1.6302910963447217,0.0,3.5989127155367377,0.0,0.03600285970508675,0.0,0.669711331020432,0.0,2.790779421334858,0.0,1.647051736890454,0.48426906772244976,0.008415733887478002,1.995692493745271,0.6578490502912226,4.0344033807772375,3.4643185077269174,0.0166655480608956,0.0,0.0,0.0,12861.982809528312,12616.765126475982,0.0,58.77121971995911,0.0,0.05885529216756961,6.367545081319961,0.020324391156263992,0.0,0.0,0.0,0.05885529216756961,0.0,0.0,43.38873093147262,342.25513786610594,641.9197663495789,0.0,0.14069565777740212,0.8374348256450341,2.267316678941013,641.4052450363274,0.9827564436599703,2.4644994849546262,2.556542766687834,0.8550171833849768,0.0,cpustress
min,69.52,0.0,0.0,0.0,0.4,0.0,0.0,0.0,70.26,70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380316.0,22396172.0,24855744.0,16379900.0,0.0,0.0,0.807,13.385,0.01,-1.0,-1.0,1.0,0.807,0.0,0.0,0.0,38863.0,1635.0,0.0,71.0,14.0,0.0,1550.0,14.0,1414.0,2.05,2.42,0.0,cpustress
25%,69.7,0.0,0.05,0.0,0.7,0.0,0.0,0.0,70.57,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.13,2.0,2.0,0.0,0.0,0.0,31380316.0,22408612.0,24869216.0,16379900.0,16.0,0.0,0.883,17.278,0.024,-1.0,-1.0,1.0,0.883,0.0,0.0,0.0,39339.0,3335.0,0.0,71.0,14.0,0.0,3343.0,14.0,1418.0,6.12,3.99,0.0,cpustress
50%,69.78,0.0,0.1,0.0,0.75,0.0,0.0,0.0,70.67,70.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.22,3.0,4.0,0.0,0.0,0.0,31380316.0,22417120.0,24877720.0,16379900.0,32.0,0.0,0.969,21.245,0.031,-1.0,-1.0,1.0,0.969,0.0,0.0,0.0,39538.0,3682.5,0.0,71.0,14.0,0.0,3654.0,14.0,1420.0,8.53,4.67,0.0,cpustress
75%,69.9,0.0,0.15,0.0,0.85,0.05,0.0,0.0,70.75,70.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02,0.4,6.0,6.0,0.01,0.0,0.0,31380316.0,22426712.0,24886864.0,16379900.0,52.0,0.0,0.974,25.346,0.042,-1.0,-1.0,1.0,0.974,0.0,0.0,0.0,39696.0,3980.0,0.0,71.0,15.0,1.0,3929.0,15.0,1421.0,10.010000000000002,5.31,0.0,cpustress
max,70.58,0.0,0.25,0.05,1.25,0.1,0.0,0.0,71.38,78.28,0.0,24.0,0.0,0.39,0.0,4.76,0.0,16.75,0.0,5.83,2.4,0.03,7.8,4.08,19.0,13.0,0.06,0.0,0.0,31380316.0,22450128.0,24908624.0,16379900.0,328.0,0.0,1.08,40.013,0.113,-1.0,-1.0,1.0,1.08,0.0,0.0,402.0,40599.0,5752.0,0.0,72.0,17.0,8.0,5674.0,17.0,1426.0,11.13,5.89,0.0,cpustress
count,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,229.0,default
mean,0.20436681222707434,0.0,0.15524017467248902,0.008733624454148475,3.962794759825327,0.14410480349344987,0.0,0.0,4.466506550218333,4.461659388646283,0.0,2.938864628820961,0.0,0.027379912663755456,0.0,0.0,0.0,1.5691266375545851,0.0,0.3611353711790392,0.4524017467248909,0.004192139737991269,1.140655021834062,0.43733624454148456,4.576375545851528,4.65061135371179,0.00842794759825328,0.0,0.0,31380316.0,23369731.68558952,25799190.724890828,16379900.0,410.410480349345,0.0,0.5964279475982536,26.528554585152833,4.617218340611357,-1.0,-1.0,1.0,0.5964279475982536,0.0,0.0,28.16593886462882,36423.633187772924,2381.995633187773,0.0,4.034934497816594,0.8165938864628821,0.9912663755458515,2359.411572052402,0.5545851528384279,1299.7816593886462,0.2584279475982534,0.31043668122270773,0.0,default
std,0.1568695008510248,0.0,0.07113465703543034,0.019025923115639057,0.08995640644300669,0.0708513852554396,0.0,0.0,0.22332814775507698,0.22160072986130538,0.0,7.203539610205862,0.0,0.07425737448162735,0.0,0.0,0.0,3.6421982381279707,0.0,0.8695207008105863,0.9804921317113205,0.009265940710124652,1.8796623924033433,0.5707308146223742,3.7027634841764168,4.112521270893896,0.01573269881480101,0.0,0.0,0.0,391159.56182006985,375217.0433588117,0.0,327.11485599478266,0.0,0.10587501032820373,6.352149063253169,1.0153941225199759,0.0,0.0,0.0,0.10587501032820373,0.0,0.0,76.41127449426786,947.0470106057302,1215.3501679279937,0.0,0.2267284876105218,0.8226426800776058,2.0021726496692898,1212.8309518885644,0.6302592253843685,51.79002321154043,0.047555787236849945,0.046705325397821115,0.0,default
min,0.0,0.0,0.05,0.0,3.77,0.0,0.0,0.0,4.16,4.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31380316.0,22538824.0,25000948.0,16379900.0,0.0,0.0,0.427,11.267,2.595,-1.0,-1.0,1.0,0.427,0.0,0.0,0.0,34441.0,1330.0,0.0,4.0,0.0,0.0,1280.0,0.0,1271.0,0.13,0.18,0.0,default
