CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.6,0,0.25,0,3.95,0.15,0,0,4.95,4.95,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.63,6,10,0.01,0,0,31380316,22568536,25030576,16379900,36,0,0.766,23.473,5.476,-1,-1,1,0.766,0,0,0,37066,4705,0,5,1,6,4641,1,1407,0.42,0.24,0,default,default
0.5,0,0.15,0,3.95,0.2,0,0,4.8,4.79,0,0,0,0,0,0,0,0,0,0,0,0,5.45,1.33,9,11,0.04,0,0,31380316,22575476,25037516,16379900,44,0,0.7,21.17,5.065,-1,-1,1,0.7,0,0,0,38206,5204,0,5,1,0,5173,0,1404,0.42,0.24,0,default,default
0.55,0,0.4,0,3.94,0.2,0,0,5.09,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,22575404,25037540,16379900,152,0,0.777,18.174,3.443,-1,-1,1,0.777,0,0,0,37020,4255,0,4,0,1,4190,1,1407,0.39,0.23,0,default,default
0.25,0,0.1,0,3.97,0.05,0,0,4.37,4.37,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.44,7,6,0,0,0,31380316,22578720,25040864,16379900,164,0,0.685,12.902,2.998,-1,-1,1,0.685,0,0,0,37464,4061,0,4,1,0,4066,1,1405,0.39,0.23,0,default,default
0.45,0,0.4,0,4.1,0.05,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.06,5,1,0,0,0,31380316,22581996,25044164,16379900,168,0,0.72,25.893,6.355,-1,-1,1,0.72,0,0,0,38076,4989,0,4,1,6,4965,1,1405,0.39,0.23,0,default,default
0.3,0,0.15,0,4.1,0.25,0,0,4.8,4.79,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.32,4,5,0,0,0,31380316,22578712,25040880,16379900,172,0,0.689,11.448,2.595,-1,-1,1,0.689,0,0,0,36362,4529,0,4,3,1,4518,0,1402,0.36,0.23,0,default,default
0.45,0,0.1,0,4,0.05,0,0,4.6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31380316,22579068,25041260,16379900,172,0,0.704,16.26,3.597,-1,-1,1,0.704,0,0,0,37471,4431,0,4,1,0,4436,1,1408,0.36,0.23,0,default,default
0.3,0,0.3,0,3.96,0.25,0,0,4.81,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,22580964,25043156,16379900,172,0,0.677,14.262,2.939,-1,-1,1,0.677,0,0,0,37900,4228,0,4,0,0,4203,0,1405,0.36,0.23,0,default,default
1.3,0,0.3,0,3.91,0.15,0,0,5.66,5.66,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.34,9,4,0.01,0,0,31380316,22582644,25044836,16379900,184,0,1.004,30.387,7.263,-1,-1,1,1.004,0,0,0,37608,5495,0,5,0,7,5511,0,1402,0.36,0.23,0,default,default
0.3,0,0.35,0,4.01,0.05,0,0,4.71,4.71,0,3,0,0.02,0,0,0,6.83,0,5,1.6,0.01,5.63,1.77,14,17,0.05,0,0,31380316,22590012,25052024,16379900,64,0,0.758,21.185,4.706,-1,-1,1,0.758,0,0,20,38161,4555,0,4,2,0,4535,0,1402,0.33,0.22,0,default,default
0.5,0,0.15,0,3.86,0.1,0,0,4.61,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.27,4,4,0,0,0,31380316,22588752,25050808,16379900,108,0,0.654,12.483,3.087,-1,-1,1,0.654,0,0,0,37292,3961,0,4,1,0,3911,1,1405,0.33,0.22,0,default,default
0.35,0,0.25,0,4.05,0.2,0,0,4.85,4.85,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.13,3,2,0,0,0,31380316,22595116,25057184,16379900,120,0,0.64,14.565,3.608,-1,-1,1,0.64,0,0,0,38243,4667,0,4,1,2,4725,0,1402,0.33,0.22,0,default,default
0.8,0,0.45,0,3.95,0.2,0,0,5.4,5.39,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0.18,7,3,0.01,0,0,31380316,22593980,25056056,16379900,124,0,0.842,29.862,6.2,-1,-1,1,0.842,0,0,0,37499,5115,0,6,3,6,5160,2,1405,0.33,0.22,0,default,default
0.35,0,0.2,0,4.1,0,0,0,4.65,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,22586940,25049016,16379900,132,0,0.675,15.16,3.842,-1,-1,1,0.675,0,0,0,37188,4109,0,4,1,0,4070,1,1405,0.3,0.22,0,default,default
