sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,workload.type,workload.appname
45540,93993648,330,5898,13319168,51335168,257,392,0,0,267595572,1180667,78340832,7393160,throughput_performance,influxdb
50094,103632689,362,6516,12150784,36220928,264,381,0,0,247838503,1182118,87270664,8301094,throughput_performance,influxdb
49680,103579823,363,6520,7342080,27148288,251,343,0,0,261239418,1183758,88860802,8532162,throughput_performance,influxdb
48300,100455925,350,6301,7244800,27045888,238,343,0,0,269126495,1185452,66598944,6315658,throughput_performance,influxdb
49680,103191360,362,6489,10693632,26923008,259,363,0,0,254802281,1187084,91157228,8630110,throughput_performance,influxdb
49128,102540171,358,6464,6227968,27656192,238,375,0,0,224707749,1188764,79908964,7558044,throughput_performance,influxdb
50094,104384060,362,6593,12954624,27078656,265,358,0,0,296246490,1190424,92647204,8767096,throughput_performance,influxdb
46230,94463966,333,5944,22088192,51695616,279,396,0,0,282532128,1192068,22621160,2142250,throughput_performance,influxdb
44712,92103750,323,5759,27273728,45072384,253,348,0,0,343254132,0,0,0,throughput_performance,influxdb
48024,99327524,349,6259,18035200,32739328,272,361,0,0,311296690,1195069,116878526,11061482,throughput_performance,influxdb
45402,94974999,328,5988,6384640,31526912,220,339,0,0,211623454,1198188,54197946,4966288,throughput_performance,influxdb
51060,105079912,373,6591,6204416,27467776,235,347,0,0,237147356,1199819,95459168,9047818,throughput_performance,influxdb
47886,101102059,352,6340,11415552,26546176,245,348,0,0,274864279,1201483,98002842,9307360,throughput_performance,influxdb
49956,104413808,361,6554,5126656,27049984,244,354,0,0,273419039,1203109,97266842,9170586,throughput_performance,influxdb
48852,102137434,356,6412,7717376,27250688,249,355,0,0,263745275,1204806,98722002,9316996,throughput_performance,influxdb
48162,100574079,350,6316,8634368,26312704,264,376,0,0,283808362,1206433,102850622,9707652,throughput_performance,influxdb
46920,97791259,343,6156,5173760,25894912,225,330,0,0,215739565,1208093,97026538,9203792,throughput_performance,influxdb
46782,95611309,340,6034,11715584,44871680,246,367,0,0,299951602,1208093,108519378,10037940,throughput_performance,influxdb
40296,83804698,290,5260,25923072,54865920,231,316,0,0,299878283,1211155,76979256,7345970,throughput_performance,influxdb
48024,100305678,352,6293,12968448,32948224,240,337,0,0,241214431,1210971,82803636,7873898,throughput_performance,influxdb
42228,88188510,306,5503,34406400,55390208,261,355,0,0,337266691,1213961,150364264,14249950,throughput_performance,influxdb
45954,95127771,337,5987,29808128,45211648,301,368,0,0,402428676,1213961,95507202,9040632,throughput_performance,influxdb
41124,84133752,297,5276,37741568,55562240,275,358,0,0,357613681,1217036,72461178,6867860,throughput_performance,influxdb
45264,95179228,331,5960,27515904,71360512,295,437,0,0,326130397,1217036,97443418,9213654,throughput_performance,influxdb
40848,84658929,297,5304,37083648,55488512,262,353,0,0,318312399,1220036,100277444,9541420,throughput_performance,influxdb
43884,91919774,323,5801,17517568,44466176,258,386,0,0,258257303,1220036,93289412,8784100,throughput_performance,influxdb
42642,87936988,311,5540,21852160,82096128,247,414,0,0,270238272,1223059,90840186,8570886,throughput_performance,influxdb
47334,97312993,345,6124,26430464,91275264,262,478,0,0,275316005,1222934,109347902,10346570,throughput_performance,influxdb
45816,94782184,334,5945,37011968,71245824,285,408,0,0,323411461,1222934,99354050,9391684,throughput_performance,influxdb
48438,102390231,354,6430,37575680,85118976,293,455,0,0,304456488,1226197,90157066,8556138,throughput_performance,influxdb
46092,96361491,336,6070,12282880,45350912,226,358,0,0,224833228,1226197,93687710,8765500,throughput_performance,influxdb
47196,97562346,341,6151,43674112,90992640,295,468,0,0,368287763,1230883,106363082,10131694,throughput_performance,influxdb
44988,95167978,323,5986,28391424,51314688,281,389,0,0,328581628,1232474,100176178,9567050,throughput_performance,influxdb
46506,96969370,333,6107,51564544,78069760,322,443,0,0,414705055,1234068,25801904,2435522,throughput_performance,influxdb
46644,97285137,340,6128,32664064,78278656,301,454,0,0,333842275,1235660,89304840,8506020,throughput_performance,influxdb
45264,94656535,330,5960,27787776,51261440,280,383,0,0,331261992,1237252,114356386,10970250,throughput_performance,influxdb
46782,96862331,343,6081,29968896,78413824,303,447,0,0,311451512,1238847,78531626,7470712,throughput_performance,influxdb
47886,98488580,347,6181,53669376,93392896,339,461,0,0,379366031,1240234,79443526,7561568,throughput_performance,influxdb
46782,98316741,341,6153,33816576,51970048,283,371,0,0,323964815,1241839,90836092,8678346,throughput_performance,influxdb
48852,101972204,361,6412,33310208,79085568,283,438,0,0,309417500,1243417,85371650,8065216,throughput_performance,influxdb
45264,94963747,325,5982,29078016,51675136,278,373,0,0,317765070,1245062,92076606,8680834,throughput_performance,influxdb
47610,98068552,345,6189,38818816,78426112,306,440,0,0,349745966,1246633,81782052,7811606,throughput_performance,influxdb
47886,99273720,344,6253,38974464,77803520,313,452,0,0,395145876,1259199,68273868,6521792,throughput_performance,influxdb
47610,99207710,347,6238,20100096,78794752,269,453,0,0,271921233,1249760,48413586,4620264,throughput_performance,influxdb
49128,101866614,357,6400,37092864,79110144,301,460,0,0,334998191,1251378,103094474,9818038,throughput_performance,influxdb
50094,103997010,364,6550,20197376,53469184,273,396,0,0,281994218,1253011,89841864,8578500,throughput_performance,influxdb
49266,104835140,361,6587,43743744,79769600,317,458,0,0,352793613,1254671,77936302,7441994,throughput_performance,influxdb
46920,99380788,336,6235,32207360,52293632,284,403,0,0,371767147,1256366,88603330,8464186,throughput_performance,influxdb
45816,95880362,334,6018,42848768,78139392,304,434,0,0,448074412,1257956,129927620,12162854,throughput_performance,influxdb
47472,98712396,342,6224,28747264,52363264,297,406,0,0,358026591,1259533,99511712,9388488,throughput_performance,influxdb
12420,22401601,90,1422,16970240,90025984,97,260,0,0,105912791,1259533,19889904,1899258,throughput_performance,influxdb
