CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
8.82,0,1.45,0,3.11,0.15,0,0,13.53,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.27,1,2,0,0,0,31380316,17682856,21283700,16379900,428,0,0.564,90.143,74.926,-1,-1,1,0.564,0,0,0,38009,2403,0,14,3,0,2356,7,1634,0.85,0.68,0,throughput_performance,memory stress
9.86,0,0.45,0,3.1,0.15,0,0,13.56,15.11,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.6,6,7,0,0,0,31380316,17867104,21467948,16379900,432,0,4.767,55.848,0.564,-1,-1,1,4.767,0,0,0,38625,2897,0,14,3,6,2902,4,1636,0.95,0.71,0,throughput_performance,memory stress
8.42,0,1.9,0,2.96,0.1,0,0,13.38,14.01,0,2,0,0.01,0,0,0,4,0,8.5,0.9,0.02,0.71,0.4,3,5,0.01,0,0,31380316,17661476,21262320,16379900,432,0,2.969,50.547,4.198,-1,-1,1,2.969,0,0,8,37224,2313,0,13,3,0,2275,3,1637,0.95,0.71,0,throughput_performance,memory stress
9.99,0,0.1,0,3.21,0.1,0,0,13.4,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,18597996,22198872,16379900,424,0,0.054,77.322,33.296,-1,-1,1,0.054,0,0,0,38505,2400,0,13,2,0,2397,2,1633,0.95,0.71,0,throughput_performance,memory stress
10.27,0,0.1,0,3.01,0.15,0,0,13.53,15,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.26,5,4,0,0,0,31380316,18598428,22199344,16379900,424,0,0.052,81.122,35.585,-1,-1,1,0.052,0,0,0,37193,2216,0,13,2,0,2200,4,1636,0.95,0.71,0,throughput_performance,memory stress
10.23,0,0.1,0,3.06,0.1,0,0,13.49,13.46,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.18,3,3,0,0,0,31380316,18598364,22199312,16379900,424,0,0.073,75.858,27.524,-1,-1,1,0.073,0,0,0,38574,2819,0,13,3,6,2777,3,1636,1.03,0.73,0,throughput_performance,memory stress
10.16,0,0.25,0,2.95,0.25,0,0,13.61,15.11,0,2,0,0.32,0,0,0,162,0,9,0.9,0.02,0.1,0.13,2,2,0,0,0,31380316,18587772,22188720,16379900,424,0,0.056,80.247,33.042,-1,-1,1,0.056,0,0,324,37767,3226,0,13,3,2,3220,3,1638,1.03,0.73,0,throughput_performance,memory stress
10.08,0,0.05,0,3.01,0.05,0,0,13.19,13.16,0,0,0,0,0,0,0,0,0,0,0,0,4.8,1.21,9,9,0.04,0,0,31380316,18588776,22189724,16379900,100,0,0.055,80.008,33.782,-1,-1,1,0.055,0,0,0,38327,2235,0,13,5,0,2217,3,1639,1.03,0.73,0,throughput_performance,memory stress
10.22,0,0.15,0,3,0.05,0,0,13.42,14.84,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.31,5,5,0,0,0,31380316,18587460,22188284,16379900,180,0,0.058,78.184,33.291,-1,-1,1,0.058,0,0,0,37312,2392,0,13,2,0,2313,4,1637,1.03,0.73,0,throughput_performance,memory stress
10.3,0,0.05,0,3.01,0.1,0,0,13.46,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.06,2,1,0,0,0,31380316,18582332,22183184,16379900,184,0,0.073,72.091,28.143,-1,-1,1,0.073,0,0,0,37914,3431,0,13,3,6,3440,3,1634,1.11,0.75,0,throughput_performance,memory stress
