CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
6.74,0,4.48,1.51,2.72,0.15,0,0,14.09,14.1,0,3897,0,1920.22,0,0,0,504.57,0,4.94,60.3,17.37,0.15,0.19,3,3,0,0,0,31380316,18372792,22023776,16379900,20060,0,1.997,44.227,2.936,-1,-1,1,1.997,0,0,1966302,45064,214922,0,14,5,1,215191,5,1636,0.15,0.22,0,throughput_performance,fileio stress
7.18,0,4.82,1.56,2.66,0.15,0,0,14.81,14.84,0,3966,0,1958.73,0,0,0,505.73,0,6.64,60.1,24.38,1.04,7.39,14,15,0.06,0,0,31380316,15840616,22013940,16379900,360,0,1.926,48.026,3.081,-1,-1,1,1.926,0,0,1966329,44272,182404,0,15,2,0,182370,1,1637,0.15,0.22,0,throughput_performance,fileio stress
7.89,0,4.52,1.61,2.61,0.1,0,0,15.12,15.12,0,3798,0,1866.88,0,0,0,503.34,0,6.66,59,23.42,0.12,0.22,1,2,0,0,0,31380316,13297976,22017248,16379900,0,0,1.977,45.493,3,-1,-1,1,1.977,1,0,1966468,43830,224648,0,16,2,0,224656,1,1639,0.15,0.22,0,throughput_performance,fileio stress
6.92,0,4.46,1.45,2.71,0.3,0,0,14.39,14.42,0,3768,0,1861.31,0,0,0,505.83,0,6.7,59.6,23.38,0.2,0.26,4,4,0,0,0,31380316,10775080,22014192,16379900,55032,0,2.029,45.716,2.868,-1,-1,1,2.029,1,0,1966395,43374,247307,0,14,2,11,247226,2,1640,0.7,0.33,0,throughput_performance,fileio stress
2.45,0,1.3,3.55,3.6,0.25,0,0,7.6,7.58,0,1986,0,428.37,0,0,0,220.87,0,3.45,89.8,6.02,0.31,0.96,6,9,0.01,0,0,31380316,8281528,22010812,16379900,68,0,1.688,37.248,3.563,-1,-1,1,1.688,1,0,414075,41596,60907,0,7,2,8,60866,0,1639,0.7,0.33,0,throughput_performance,fileio stress
0.6,0,0.55,4.41,3.91,0,0,0,5.06,5.06,0,1482,0,5.63,0,0,0,3.89,0,0.66,100.2,0.47,0.1,0,2,0,0,0,0,31380316,7878020,22018252,16379900,436,0,1.263,24.047,2.797,-1,-1,1,1.263,1,0,5769,40448,23159,0,5,1,0,23170,0,1639,0.7,0.33,0,throughput_performance,fileio stress
0.75,0,0.5,4.35,3.8,0.15,0,0,5.2,5.19,0,1536,0,5.77,0,0,0,3.85,0,0.64,100,0.45,0.32,0.05,1,1,0,0,0,31380316,7877784,22018144,16379900,388,0,1.206,29.082,2.643,-1,-1,1,1.206,1,0,5926,39928,20483,0,5,3,2,20449,0,1639,0.7,0.33,0,throughput_performance,fileio stress
0.65,0,0.45,4.35,3.9,0.15,0,0,5.15,5.14,0,1673,0,6.32,0,0,0,3.87,0,0.58,99.8,0.4,0.05,0.06,1,1,0,0,0,31380316,7877500,22017844,16379900,668,0,1.327,25.21,2.124,-1,-1,1,1.327,1,0,6472,38972,22348,0,5,2,12,22355,2,1642,0.72,0.34,0,throughput_performance,fileio stress
0.6,0,0.4,4.34,3.84,0.35,0,0,5.19,5.18,0,1744,0,6.6,0,0,0,3.87,0,0.56,100,0.38,0.25,0.39,5,6,0,0,0,31380316,7877736,22018080,16379900,1064,0,1.375,28.63,2.243,-1,-1,1,1.375,1,0,6739,40049,22122,0,5,1,1,22111,1,1639,0.72,0.34,0,throughput_performance,fileio stress
1.4,0,0.35,4.36,3.76,0,0,0,5.51,5.51,0,1725,0,6.48,0,0,0,3.84,0,0.57,100.1,0.4,0.41,0.52,8,8,0,0,0,31380316,7910376,22050720,16379900,1260,0,1.57,28.035,2.543,-1,-1,1,1.57,1,0,6647,39596,24071,0,5,1,0,23587,4,1642,0.72,0.34,0,throughput_performance,fileio stress
