CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
0.66,0,0.35,0,3.38,0.3,0,0,4.69,4.71,0,0,0,0,0,0,0,0,0,0,0,0,1222858.84,1222858.84,44276,44276,0,0,0,31380316,18505208,22140556,16379900,12,0,0.912,4.56,1.636,-1,-1,1,0.912,0,0,0,39877,24078,0,5,1,0,24097,2,1693,0.33,0.55,0,throughput_performance,net stress
0.86,0,0.76,0.05,3.45,0.41,0,0,5.48,5.45,0,2,0,0,0,0,0,2,0,5,1.1,0.01,1222854.21,1222854.21,44066,44066,0,0,0,31380316,18506348,22141700,16379900,28,0,0.908,16.79,3.281,-1,-1,1,0.908,0,0,12,40122,28817,0,6,1,21,28810,5,1692,0.33,0.55,0,throughput_performance,net stress
2.75,0,0.51,0.05,3.31,0.31,0,0,6.88,6.86,0,21,0,0.08,0,0,0,3.88,0,2.29,4,0.04,1223381.69,1223381.69,43263,43263,0,0,0,31380316,18503608,22138960,16379900,32,0,1.018,20.528,5.77,-1,-1,1,1.018,0,0,81,41545,30415,0,7,2,2,30358,1,1690,0.3,0.54,0,throughput_performance,net stress
1.26,0,0.4,0.05,3.28,0.35,0,0,5.29,5.29,0,7,0,0.04,0,12.5,0,5.71,0,5.14,0.9,0.03,1222835.49,1222835.49,38688,38688,0,0,0,31380316,18473336,22108688,16379900,36,0,0.93,13.222,4.794,-1,-1,1,0.93,0,0,40,39309,22646,0,5,8,1,22592,1,1690,0.3,0.54,0,throughput_performance,net stress
1.16,0,0.3,0.05,3.19,0.25,0,0,4.9,4.9,0,5,0,0.04,0,0,0,7.2,0,3.8,2.1,0.02,1223323.67,1223323.67,44642,44642,0,0,0,31380316,18476440,22111792,16379900,16,0,0.908,11.609,4.361,-1,-1,1,0.908,0,0,36,40081,27602,0,5,0,0,27548,3,1690,0.3,0.54,0,throughput_performance,net stress
1.47,0,0.51,0,3.29,0.46,0,0,5.73,5.73,0,0,0,0,0,0,0,0,0,0,0,0,1222731.75,1222731.75,41814,41814,0,0,0,31380316,18474060,22109412,16379900,56,0,0.928,13.622,4.466,-1,-1,1,0.928,0,0,0,41068,33261,0,5,3,20,33254,3,1692,0.3,0.54,0,throughput_performance,net stress
1.06,0,0.3,0,3.29,0.41,0,0,5.06,5.07,0,0,0,0,0,0,0,0,0,0,0,0,1222780.75,1222780.75,42779,42779,0,0,0,31380316,18469592,22104944,16379900,56,0,0.927,10.999,4.192,-1,-1,1,0.927,0,0,0,39297,29346,0,5,0,1,29339,5,1690,0.28,0.53,0,throughput_performance,net stress
0.76,0,0.3,0.05,3.4,0.3,0,0,4.76,4.76,0,7,0,0.05,0,0,0,8,0,5,0.9,0.03,1223328.1,1223328.1,45733,45733,0,0,0,31380316,18464892,22100244,16379900,56,0,0.831,8.067,2.539,-1,-1,1,0.831,0,0,56,40461,30864,0,5,0,0,30792,0,1690,0.28,0.53,0,throughput_performance,net stress
1.63,0,0.41,0.05,3.26,0.41,0,0,5.71,5.72,0,11,0,0.05,0,0,0,4.55,0,2.09,2.4,0.02,1223052.27,1223052.27,45587,45587,0,0,0,31380316,18463524,22098876,16379900,4,0,0.965,14.801,4.63,-1,-1,1,0.965,0,0,50,41288,43773,0,6,6,6,43747,7,1698,0.28,0.53,0,throughput_performance,net stress
0.91,0,0.41,0.1,3.35,0.46,0,0,5.13,5.12,0,22,0,0.23,0,0,0,10.75,0,2.18,3.9,0.04,1223000.82,1223000.82,44592,44592,0,0,0,31380316,18469716,22105068,16379900,16,0,0.927,10.161,3.449,-1,-1,1,0.927,0,0,237,41510,35996,0,5,0,9,35981,0,1690,0.28,0.53,0,throughput_performance,net stress
