CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util,workload.type,workload.appname
8.77,0,2.1,0,2.96,0.2,0,0,14.03,14.69,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.43,5,5,0,0,0,31380316,18661604,22262644,16379900,404,0,2.671,70.618,6.73,-1,-1,1,2.671,0,0,0,37978,4019,0,14,3,10,3951,5,1638,0.48,0.69,0,throughput_performance,memory stress
8.98,0,1.51,0,3.01,0.2,0,0,13.7,14.43,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.13,1,2,0,0,0,31380316,17581248,21182344,16379900,412,0,3.307,60.65,4.523,-1,-1,1,3.307,0,0,0,38549,4840,0,14,3,0,4856,3,1636,0.48,0.69,0,throughput_performance,memory stress
9.06,0,1.2,0,3.15,0,0,0,13.41,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,17590968,21192048,16379900,412,0,3.544,66.221,3.847,-1,-1,1,3.544,0,0,0,38032,2179,0,13,4,1,2163,2,1635,0.6,0.71,0,throughput_performance,memory stress
8.65,0,1.9,0.05,3.05,0.15,0,0,13.75,14.47,0,5,0,0.06,0,0,0,11.7,0,3.8,2,0.02,0.17,0.21,3,3,0,0,0,31380316,17593096,21194176,16379900,412,0,3.404,63.722,4.11,-1,-1,1,3.404,0,0,58,38896,3077,0,14,2,23,3072,2,1637,0.6,0.71,0,throughput_performance,memory stress
9.75,0,0.75,0,3.05,0.2,0,0,13.75,14.46,0,0,0,0,0,0,0,0,0,0,0,0,4.85,1.43,10,12,0.04,0,0,31380316,18094116,21695196,16379900,416,0,1.08,88.438,24.724,-1,-1,1,1.08,0,0,0,39124,2977,0,14,3,6,2900,2,1635,0.6,0.71,0,throughput_performance,memory stress
10.39,0,0,0,3,0.15,0,0,13.54,13.54,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.19,2,3,0,0,0,31380316,17463144,21064224,16379900,424,0,1.797,88.175,14.131,-1,-1,1,1.797,0,0,0,36954,2346,0,13,3,0,2336,4,1637,0.6,0.71,0,throughput_performance,memory stress
9.97,0,0.2,0,2.96,0.2,0,0,13.33,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.06,1,1,0,0,0,31380316,17776700,21377780,16379900,424,0,2.198,38.72,1.428,-1,-1,1,2.198,0,0,0,37195,2699,0,13,2,0,2624,2,1635,0.72,0.73,0,throughput_performance,memory stress
9.81,0,0.45,0.05,3.05,0.1,0,0,13.41,13.36,0,17,0,0.06,0,0,0,3.41,0,1.82,2.6,0.02,0.31,0.38,6,6,0,0,0,31380316,17812152,21413232,16379900,424,0,3.894,81.672,8.16,-1,-1,1,3.894,0,0,58,37752,2191,0,14,2,0,2188,3,1636,0.72,0.73,0,throughput_performance,memory stress
12.41,0,0.2,0,3.25,0.2,0,0,16.06,16.11,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0.35,2,4,0,0,0,31380316,17597680,21198760,16379900,404,0,3.097,76.836,7.52,-1,-1,1,3.097,0,0,0,39397,3933,0,16,7,6,3966,2,1635,0.72,0.73,0,throughput_performance,memory stress
10.13,0,0.2,0,3.15,0.25,0,0,13.73,13.79,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.13,2,2,0,0,0,31380316,17598504,21199584,16379900,404,0,4.248,80.301,6.938,-1,-1,1,4.248,0,0,0,39695,3136,0,13,5,0,3151,2,1638,0.72,0.73,0,throughput_performance,memory stress
9.72,0,0.5,0.05,2.96,0.15,0,0,13.33,14.89,0,11,0,0.04,0,0,0,4.09,0,2.18,2.4,0.02,0.1,0.19,2,3,0,0,0,31380316,18490676,22091756,16379900,404,0,3.663,54.463,0.618,-1,-1,1,3.663,0,0,45,39118,2149,0,14,2,0,2088,3,1636,0.82,0.75,0,throughput_performance,memory stress
10.17,0,0.15,0.05,3.01,0.1,0,0,13.43,13.36,0,20,0,1.06,0,4.76,0,54.4,0,1.75,1,0.03,0.05,0.13,1,2,0,0,0,31380316,17602104,21203184,16379900,404,0,3.492,25.001,0.235,-1,-1,1,3.492,0,0,1088,39863,2762,0,13,3,0,2763,2,1635,0.82,0.75,0,throughput_performance,memory stress
9.03,0,1.45,0,3.11,0.1,0,0,13.69,15.18,0,0,0,0,0,0,0,0,0,0,0,0,4.84,1.21,10,9,0.04,0,0,31380316,18125140,21726224,16379900,108,0,0.757,86.241,31.016,-1,-1,1,0.757,0,0,0,39866,3857,0,14,4,6,3811,4,1636,0.82,0.75,0,throughput_performance,memory stress
8.9,0,1.35,0,3.15,0.15,0,0,13.55,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.26,3,4,0,0,0,31380316,18029952,21631036,16379900,120,0,0.88,89.459,46.244,-1,-1,1,0.88,0,0,0,38897,2100,0,14,2,0,2086,2,1637,0.82,0.75,0,throughput_performance,memory stress
