sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
54234,109097202,393,6914,5800448,23175168,243,376,0.0,0.0,228058901,823349,1937867,129170
50646,108086301,364,6831,5900800,23310336,253,382,0.0,0.0,228242040,824733,2362314,153336
52992,106945032,385,6784,4814336,23597056,256,387,0.0,0.0,248422700,826101,2839722,184570
51060,107557564,370,6828,4611584,23314432,235,372,0.0,0.0,233250834,827471,3297908,211330
49818,106153029,363,6714,4494848,22880256,240,389,0.0,0.0,190036131,828851,3418908,221302
48990,100731153,355,6364,5489152,22409216,252,349,0.0,0.0,265127858,830209,4213738,281484
49128,102088052,353,6451,17869824,64983040,284,449,0.0,0.0,309405110,831291,4345606,300474
52164,108600145,375,6889,6956032,23212032,235,357,0.0,0.0,215256312,832615,4379254,312392
52302,108624873,379,6878,5622784,23719936,247,361,0.0,0.0,243213063,834021,4252482,315942
52854,108015275,384,6852,4719616,23617536,236,374,0.0,0.0,259227943,835417,1715650,128012
51474,107674017,373,6824,4929536,23355392,259,384,0.0,0.0,247034380,836807,3953348,303912
51198,104800290,369,6626,5720576,23027712,249,363,0.0,0.0,231385773,838186,6545350,500318
52992,111224092,385,7033,5337600,23650304,241,380,0.0,0.0,224048120,839529,6330278,480498
46644,97011598,339,6165,10546176,21671936,263,352,0.0,0.0,277046614,840922,5600006,436648
48300,99809080,350,6327,22229504,65433600,284,457,0.0,0.0,324280908,842012,7999704,638748
53406,109034313,386,6923,6029824,23597056,261,375,0.0,0.0,256164662,843338,7432004,590174
51888,108012838,374,6844,5839360,23396352,240,375,0.0,0.0,261163929,844716,7460700,586660
52026,106960911,375,6769,5501440,23556096,263,417,0.0,0.0,267733830,846097,8060724,628846
53130,108034229,385,6869,5487616,23502848,257,362,0.0,0.0,280674616,846097,1310564,100202
51612,107290735,373,6794,4639232,23400448,246,371,0.0,0.0,242344529,848826,7847158,608882
51336,107377953,371,6805,6028288,23269376,247,386,0.0,0.0,228119494,850210,8856082,686066
48990,98917637,354,6270,15315968,48562176,284,443,0.0,0.0,301830041,850210,948638,68838
49404,103671437,358,6555,13069312,39944192,276,403,0.0,0.0,263960193,0.0,0.0,0.0
45540,95083778,331,6019,28713984,47439872,285,377,0.0,0.0,345630364,854051,7567476,588508
47886,98798209,349,6256,31708672,47677440,321,403,0.0,0.0,406896979,855291,12769732,993370
47472,96494008,344,6137,21073920,47644672,274,409,0.0,0.0,310245313,856563,11131142,860996
47748,98856343,343,6257,28839936,73805824,299,466,0.0,0.0,269754980,857819,11495206,887814
47058,99491816,342,6274,25439232,62238720,274,417,0.0,0.0,267759542,859030,1123404,94780
50232,103238294,362,6569,4343296,22355968,246,370,0.0,0.0,269905245,860312,11655412,911778
47058,96299426,338,6091,32052224,47734784,302,377,0.0,0.0,375071921,861653,9924264,781110
42228,84253401,309,5352,6413312,34996224,215,366,0.0,0.0,217212524,862746,11617202,904162
Concurrency: 14
Virtual Hosts: 5
Measurements: 5
Tag cardinalities: [100 12]
Points per series: 10000
Total series: 6000
Total points: 60000000
Total fields per point: 1
