sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
52302,108641848,379,6904,6035968,20803584,256,377,0.0,0.0,258656842,1230347,79801881,7684872
50784,105180572,372,6668,4509696,21061632,253,379,0.0,0.0,263548457,1231692,78737680,7580792
49956,102906459,367,6563,4941824,20635648,262,377,0.0,0.0,242526587,1233015,99223124,9536956
50508,106103441,365,6720,5683200,20750336,242,345,0.0,0.0,271822428,1234306,90661062,8719494
52026,107809734,379,6823,9481216,21348352,270,386,0.0,0.0,278350726,1235622,100991862,9573810
46782,96377295,332,6111,21060608,46002176,311,409,0.0,0.0,417547266,1236978,106672486,10211816
48576,100713658,355,6415,14664704,40636416,281,411,0.0,0.0,313583728,1238095,27953030,2682588
52164,108345615,380,6882,4714496,21090304,222,361,0.0,0.0,204199221,1239369,73900204,7072324
50508,104405378,366,6618,4054528,21028864,235,366,0.0,0.0,253899133,1240724,89620280,8595160
49542,104822882,362,6624,9457152,20815872,237,362,0.0,0.0,211545584,1242014,89057854,8527006
50508,106461593,367,6759,10391040,26140672,284,394,0.0,0.0,311085932,1244652,83995360,8017192
51612,106533950,376,6778,4076032,15564800,248,370,0.0,0.0,263666500,1244652,80628198,7707546
52164,106541216,376,6778,6227456,26697728,258,375,0.0,0.0,262876105,1247300,96271166,9196616
48024,98029087,351,6211,30946816,45830144,318,400,0.0,0.0,423183715,1248539,119059138,9584042
50784,103870332,370,6613,15994368,37277696,299,431,0.0,0.0,319322480,1249751,101659818,9676572
51888,107501237,378,6817,9158144,21086208,267,391,0.0,0.0,250523292,1251068,93974076,8950792
36570,72049002,266,4597,3257856,15810560,170,269,0.0,0.0,150429504,1251068,69352320,6529680
Concurrency: 14
Virtual Hosts: 5
Measurements: 5
Tag cardinalities: [100 7]
Points per series: 10000
Total series: 3500
Total points: 35000000
Total fields per point: 1
