sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw
48162,98599499,348,6215,7238656,28663808,244,348,0.0,0.0,227441793,1149797,61226545,5512124
49266,102526100,356,6450,7706624,25726976,226,342,0.0,0.0,224796685,1151344,65620548,5907246
49818,102031001,362,6431,7185408,25927680,232,343,0.0,0.0,216092735,1152903,57085854,5133164
48438,101209725,352,6363,8990208,25714688,257,399,0.0,0.0,239396759,1154526,73070102,6595248
48852,101063582,354,6367,6771200,25817088,238,365,0.0,0.0,251826628,1156100,68359188,6112212
47748,101654860,344,6387,6183936,25194496,233,354,0.0,0.0,259104212,1157669,71722214,6450546
46782,98608690,339,6207,8982016,25100288,234,358,0.0,0.0,259603895,1159219,54796522,4963980
48438,98992847,347,6238,11206656,25493504,240,350,0.0,0.0,206249125,1160772,77525412,7049796
45264,95100853,325,5961,22883840,50823168,265,382,0.0,0.0,249484256,1162389,68188164,6238830
40986,86713618,300,5442,12088832,45101056,220,348,0.0,0.0,220025030,1162222,53387980,4895850
46782,98734300,341,6226,9580544,36782080,253,388,0.0,0.0,241019194,1165181,73719008,6765772
48852,102553993,353,6457,7478784,25583616,262,364,0.0,0.0,265278444,1168258,79218224,7346754
49818,103954105,364,6535,5766656,25776128,235,338,0.0,0.0,252086183,1169795,57054792,5196182
48990,101832296,354,6432,8338944,25649152,237,348,0.0,0.0,192982423,1171332,77453232,7128298
47058,98125417,343,6161,5559808,25403392,242,347,0.0,0.0,280944406,1172901,83047530,7636884
49956,102540814,361,6449,11198464,25202688,255,344,0.0,0.0,281421923,1174429,79300830,7314860
48024,98287296,346,6197,8898048,25350144,229,347,0.0,0.0,210043612,1176048,71383944,6645622
44988,94787432,327,5937,15895552,43765760,252,364,0.0,0.0,294523156,1176048,55283146,5114048
40710,83941125,292,5270,13341696,57470976,197,354,0.0,0.0,202645036,1178751,105490978,9829364
48438,100548897,351,6324,7969280,24891392,260,344,0.0,0.0,289881139,1180261,56088922,5278430
48990,101747474,356,6416,8415744,25456640,223,328,0.0,0.0,220305100,1181793,63712658,5979758
47610,99461936,346,6264,10567680,25579520,251,362,0.0,0.0,276367697,1183399,65938570,6073902
48714,100927201,354,6362,6366208,25452544,245,354,0.0,0.0,247793753,1184957,66250746,6213070
48714,101638551,352,6404,8178688,25530368,245,353,0.0,0.0,228662060,1186515,71457376,6700844
46920,100842664,344,6331,5421056,25067520,241,355,0.0,0.0,264348577,1188072,82477464,7606964
45954,95622231,331,6006,10260992,24354816,261,369,0.0,0.0,247036103,1189602,79809950,7462890
44298,91626904,322,5762,12743680,43864064,242,373,0.0,0.0,247418448,1189602,64823508,6044548
41262,87984380,302,5520,13959680,57851904,228,383,0.0,0.0,247935085,1192369,94919790,9057734
48024,98377367,346,6226,4357120,19058688,242,345,0.0,0.0,280381465,1192369,65679720,6158322
44436,90840424,321,5738,8265728,29155328,219,333,0.0,0.0,256314951,1195299,47297688,4441134
46092,96726011,334,6100,4329984,24621056,238,367,0.0,0.0,227715309,1196811,63627912,5973606
48024,98458278,348,6208,10085888,25055232,244,345,0.0,0.0,249332293,1198342,99507428,9223474
48852,99541154,354,6267,5662720,25493504,227,367,0.0,0.0,230830466,1199911,89742580,8466698
46506,95462940,336,6025,6303744,24870912,232,340,0.0,0.0,225139207,1201488,81646980,7622494
47610,98657421,347,6198,7521792,24788992,255,346,0.0,0.0,251153169,1202946,80841414,7681988
45540,94442804,332,5947,6760448,24317952,245,342,0.0,0.0,285680588,1204536,89914664,8492454
43470,90828566,315,5692,24695808,43311104,272,366,0.0,0.0,327602259,1204536,52090426,4893340
41262,85065895,303,5349,20579328,62861312,244,389,0.0,0.0,250069197,1204536,12697968,1203276
44298,92583162,320,5826,4623360,17633280,236,326,0.0,0.0,237585362,0.0,0.0,0.0
39192,81798509,280,5146,22206976,53407744,240,355,0.0,0.0,290061215,1210091,60316186,5733426
45264,92185551,331,5796,32610304,69836800,284,424,0.0,0.0,377794760,1210091,56681190,5372262
39882,87705189,296,5489,24202752,53927936,261,376,0.0,0.0,334471623,1212872,98576824,9365186
44160,89737074,318,5647,25217024,43429888,271,366,0.0,0.0,341796694,1212872,77538646,7369222
39606,81673337,288,5111,32641536,53387264,257,354,0.0,0.0,346035485,1215711,92101724,8777344
44022,90822448,319,5711,17214976,43532288,262,365,0.0,0.0,312179389,1215711,56315026,5354680
40572,84516846,295,5332,30258176,70909952,252,393,0.0,0.0,293139366,1218393,114775678,10968010
47610,97739986,346,6155,3813888,18407424,211,319,0.0,0.0,207987570,1218393,60446142,5794578
42504,89591917,310,5637,11354624,28950528,228,335,0.0,0.0,229996367,1221337,82173892,7822388
45540,96668481,329,6096,5699072,17825792,242,348,0.0,0.0,238460203,1221337,77100994,7440084
45816,95965891,334,6033,8403968,30179328,219,326,0.0,0.0,201269207,1224230,92049786,8837094
43332,88635809,314,5574,8674816,23019520,246,328,0.0,0.0,286055617,1225749,90862062,8725314
17112,32306232,123,2059,9618944,58953728,98,233,0.0,0.0,105037643,1225749,32338552,3117176
Concurrency: 14
Virtual Hosts: 5
Measurements: 5
Tag cardinalities: [100 18]
Points per series: 10000
Total series: 9000
Total points: 90000000
Total fields per point: 1
